file_name,space_group,value_per_atom
4781_NpTa,P4/mmm,0.434477126
2333_NpRh,R-3m,-0.015242699
4201_NpSm,Pm-3m,0.274511297
4215_EuNp,P4/mmm,0.579294471
3056_NpSn,P4/mmm,-0.254696247
2814_AlNp3,Fm-3m,0.12034398
671_NpPd,R-3m,0.070395116
3498_NpPa,P4/mmm,-0.0992219
4786_NpPa,P4/mmm,0.340621588
2756_Ni2Np2,Pmma,-0.148279925
4318_AcNp,P-6m2,0.679785329
59_GaNp,P-6m2,-0.185643663
4192_NpYb,P4/mmm,0.554569276
61_NpPd,P-6m2,0.064525805
1520_NpYb,R-3m,0.503699025
1905_GaNp,R-3m,-0.139343732
2552_InNp,R-3m,0.118355799
4714_MoNp,P-6m2,0.565136407
