file_name,space_group,value per atom
3397_Ni2Pd,I4/mmm,0.033080085
144_CaRh4,I4/m,-0.012359346
991_Ni4Rh2,Pmmm,0.038815081
3582_Pd2Rh2,Cmme,0.142645909
2894_Rh4W2,I4_1/amd,-0.035216993
2534_Ag3Ni,Pmm2,0.19456969
3096_Rh3As,Cmmm,0.189954698
3521_InRh3,Fm-3m,-0.012603019
4350_Au2Ni2,Cmcm,0.137970041
1848_MnNi,P-6m2,0.068340101
3372_Ni3Ta,Fm-3m,-0.205883672
4233_Ir2Ni2,Imma,0.124074811
2487_AlRh2,I4/mmm,-0.636216769
2576_Ni5U,F-43m,-0.340173944
4013_MoRh2,Immm,-0.161432445
4639_CrNi,R-3m,0.133807074
730_Ni3Ta,Fm-3m,-0.187128672
4883_Mo6Rh2,I4/mmm,0.074855765
4598_Ni3Rh3,Cm,0.059009844
4087_AuNi3,Pmmm,0.098559172
2945_Ir2Ni4,Cmcm,0.060366361
2530_Ni4Rh2,Cmcm,0.119096477
45_CaRh2,I4/mmm,-0.07166436
3296_RhYb,Pm-3m,-0.588966767
4033_Ni3Yb,I4/mmm,-0.080449737
4205_MnRh3,Pmmm,-0.054384162
4546_PtRh7,Fm-3m,0.003178419
4077_Mo4Rh8,I4_1/amd,-0.177814411
2319_Cr2Rh2,I4_1/amd,0.022027287
1121_Cr4Rh8,I4_1/amd,-0.084373938
4355_Mo6Rh18,Pmmn,-0.18275122
3789_Mn4Rh2,Cmcm,0.015556035
3155_CuNi2,I4/mmm,0.027810284
2916_MoRh2,I4/mmm,0.038002512
4303_AuRh3,Pmmm,0.14183755
4736_Rh6W2,P6_3/mmc,-0.29312006
3759_NiRh5,Pmmm,0.024160739
3303_Rh3Sr,P4/mmm,0.20508689
600_Ni4Ta4,P2_13,0.002778305
3454_Rh4Sm2,Fd-3m,-0.914720719
4249_AuRh,Pm-3m,0.27851694
2500_Ni2Ta,Fm-3m,0.370421373
1476_Ni3Ta,Fm-3m,-0.189969448
4388_Nb2Ni4,I4_1/amd,0.033300587
4906_Rh6Sb4,Fdd2,-0.047986295
4784_Ni4Rh2,C2/m,0.046255103
1512_CuNi,Fm-3m,0.666600367
4341_Mo12Rh12,Pbcm,-0.036872532
204_Ni3Sb,I4/mmm,-0.136140582
3345_MoNi3,Pm-3m,0.084675097
655_PdRh2,I4/mmm,0.066823172
4304_Mn2Rh2,P4/nmm,1.015184772
3400_BaRh3,Pmmm,0.294330906
4179_Rh4W2,I4/mcm,0.174402638
1011_Cr2Rh2,P4/nmm,0.019457535
4861_NbNi2,I4/mmm,-0.262578531
207_CrRh3,I4/mmm,-0.06999138
216_Cr5Rh4,I4/mmm,0.043413251
4892_Mn2Rh4,Cmcm,0.00941442
3385_NiW,P-6m2,0.153042022
1496_Cu12Ni17,I-43m,0.119280631
229_Pd2Rh2,P4/nmm,0.041343169
4851_NbRh3,I4/mmm,-0.428855319
4515_Ni24Ta5,I-43m,-0.167500531
3493_Rh3Sb,Pmmm,-0.042709239
4517_Rh3Sb,P4/mmm,0.038224971
4048_Na4Rh16,I23,0.554294159
1399_Ni2Sb,I4/mmm,-0.082333695
4946_Rh2W2,Pmmn,-0.048850565
4599_AuNi3,Imm2,0.161091825
1685_Al5Rh7,Fmmm,-0.638331802
3279_Au12Ni4,Pnma,0.117861617
2796_Mo12Rh12,Pbcm,-0.039606365
1021_Ni3Sb,P4/mmm,0.032134307
3144_Ni2Rh4,Fd-3m,0.571780078
3594_Ni2V,Immm,-0.207250857
4801_Ir2Rh4,I4_1/amd,0.308514419
4313_Rh3Ta,Pmm2,-0.405176874
3249_Ni2Rh4,Cmmm,0.046244334
4150_Mo2Ni6,Pmmn,-0.113012142
506_MnRh,Pm-3m,-0.193743777
