file_name,space_group,value_per_atom
1911_InTh,P4/mmm,-0.246743621
2424_SmTh,P4/mmm,-0.22513259
1498_CuTh,P-6m2,0.213202968
4999_Pt2Th2,Cmcm,-1.235065504
2456_SrTh,P-6m2,0.347384581
4049_GaTh3,Pm-3m,-0.17668998
1654_RbTh,P-6m2,0.725585621
3223_ThGe,R-3m,-0.780768927
3009_AcTh,P-6m2,0.151782232
3723_SnTh,P-6m2,-0.4789628
3217_AgTh,Fm-3m,0.283415185
661_CrTh,P-6m2,0.717467788
148_CrTh,F-43m,1.709790453
497_Al4Th6,P4/mbm,-0.241911716
1526_CrTh,F-43m,1.691719232
4748_AcTh3,Pm-3m,0.10892936
2369_RhTh,P4/mmm,-0.600098872
1598_IrTh,P-6m2,-0.602302975
3612_PtTh,P-6m2,-0.86841678
1060_CuTh,F-43m,0.818575165
3000_CrTh,Fm-3m,0.823371902
2479_InTh,R-3m,-0.134414627
172_CuTh,F-43m,0.796849426
3041_Ag3Th,Pm-3m,0.139338281
647_PtTh,R-3m,-0.998540714
1944_Th6Ge4,P4/mbm,-0.831647411
634_Al2Th4,I4/mcm,-0.247246096
1877_CuTh,P-6m2,0.176505782
