file_name,formula,space_group,value_per_atom,most_distinct_OFM
2_Ni4Ta6,Ni4Ta6,R-3c,0.1017402497441466,False
3_Mn4Sb2,Mn4Sb2,I4_1/amd,0.4959808317815088,False
4_Ir2Na2,Ir2Na2,Imma,0.4721300324400452,False
5_MoSm,MoSm,R-3m,0.5114126186332761,False
6_Sn17P12,Sn17P12,I-43m,0.2150613449970501,False
7_Sr6Br4,Sr6Br4,R-3c,-1.1913767863029878,False
8_Ge4P12,Ge4P12,Pnma,0.2086850365686645,False
9_Mn8Sb,Mn8Sb,I4/mmm,0.1088367267697947,False
10_Ba2Bi3,Ba2Bi3,Immm,-0.8094130623309983,False
11_Mo3W3,Mo3W3,C2/m,-0.0006663757429568,False
12_InSn5,InSn5,Cm,0.0003555562973946,False
13_Ga2Sr,Ga2Sr,P6/mmm,-0.533854310311091,False
14_Pd2Ta2,Pd2Ta2,P4/nmm,-0.3572595305178883,False
15_CuNb,CuNb,P4/mmm,0.2119333832970964,False
16_Ac4I6,Ac4I6,R-3c,-1.145669893512698,False
17_Fe6Sb18,Fe6Sb18,Pmmn,0.1547501784091292,False
18_InSn5,InSn5,Cm,-0.0004405329807042,False
19_In4Sn2,In4Sn2,C2/m,0.0058372774279457,False
20_Sr6Br4,Sr6Br4,R-3c,-1.1928946056775946,False
21_In2Sn4,In2Sn4,C2/m,0.0010884922752308,False
22_RhGe3,RhGe3,Imm2,-0.0905160589754983,False
23_CuEu,CuEu,Pm-3m,-0.1598074136543927,False
24_Cu2Ga2,Cu2Ga2,Pmma,-0.0461503759196872,False
25_Fe4Na8,Fe4Na8,Pa-3,1.6371448910768656,False
26_PtSm,PtSm,Pm-3m,-1.2893512592068015,False
27_Cr4Sr5,Cr4Sr5,I4/mmm,0.8411270269282158,False
28_CeSb,CeSb,P-6m2,-1.0332635248915611,False
29_Nb2W6,Nb2W6,Pmmn,0.3700803438589179,False
30_In5Br,In5Br,Amm2,-0.1449179659511769,False
31_CsNi,CsNi,Amm2,1.2079635948348568,False
32_In4Br12,In4Br12,Pnma,-0.8565492677849518,False
34_Nb4W8,Nb4W8,Pnma,0.1253886633291424,False
35_Ag4Sn8,Ag4Sn8,I4_1/amd,0.0393953092254234,False
36_Nb6Pt2,Nb6Pt2,Pm-3n,-0.4193485824946332,False
37_AlMn,AlMn,P-6m2,-0.1653908717519483,False
38_SbP,SbP,Fm-3m,-0.0401790750342963,False
39_CrTa3,CrTa3,Immm,0.0265847358564226,False
40_Al2Rh,Al2Rh,I4/mmm,-0.7879958682286438,False
