file_name,formula,space_group,value_per_atom,composition,HHI_P,HHI_R
2_Ni4Ta6,Ni4Ta6,R-3c,0.1017402497441466,Ta3Ni2,2068.864277145416,4213.270857369133
3_Mn4Sb2,Mn4Sb2,I4_1/amd,0.4959808317815088,Mn2Sb,4911.608307669154,2641.0433797255
5_MoSm,MoSm,R-3m,0.5114126186332761,SmMo,6734.372716199757,3956.954933008526
6_Sn17P12,Sn17P12,I-43m,0.2150613449970501,Sn17P12,2506.680361391871,2144.364558547426
7_Sr6Br4,Sr6Br4,R-3c,-1.1913767863029878,Sr3Br2,3859.715899949842,4474.564433550682
8_Ge4P12,Ge4P12,Pnma,0.2086850365686645,GeP3,3447.874716315021,3696.000275088465
9_Mn8Sb,Mn8Sb,I4/mmm,0.1088367267697947,Mn8Sb,2966.714252086129,2147.102032275842
10_Ba2Bi3,Ba2Bi3,Immm,-0.8094130623309983,Ba2Bi3,4599.348310638743,4872.86467363624
11_Mo3W3,Mo3W3,C2/m,-0.0006663757429568,MoW,5422.603474158268,4642.912288226464
12_InSn5,InSn5,Cm,0.0003555562973946,InSn5,2713.461647053509,1664.835226887719
13_Ga2Sr,Ga2Sr,P6/mmm,-0.533854310311091,SrGa2,4998.357305805361,2324.466895087772
14_Pd2Ta2,Pd2Ta2,P4/nmm,-0.3572595305178883,TaPd,2633.294034114042,5985.045454627705
17_Fe6Sb18,Fe6Sb18,Pmmn,0.1547501784091292,FeSb3,7170.650044523599,3134.781834372217
18_InSn5,InSn5,Cm,-0.0004405329807042,InSn5,2713.461647053509,1664.835226887719
19_In4Sn2,In4Sn2,C2/m,0.0058372774279457,In2Sn,3061.452693586262,1863.687253477864
20_Sr6Br4,Sr6Br4,R-3c,-1.1928946056775946,Sr3Br2,3859.715899949842,4474.564433550682
21_In2Sn4,In2Sn4,C2/m,0.0010884922752308,InSn2,2828.176971252392,1730.386840715652
22_RhGe3,RhGe3,Imm2,-0.0905160589754983,Ge3Rh,4626.420281430248,3856.588706321661
23_CuEu,CuEu,Pm-3m,-0.1598074136543927,EuCu,7170.579555473064,2628.218644146444
24_Cu2Ga2,Cu2Ga2,Pmma,-0.0461503759196872,GaCu,3640.382234428111,1709.269972761857
25_Fe4Na8,Fe4Na8,Pa-3,1.6371448910768656,Na2Fe,1812.976469392212,993.5990941946084
27_Cr4Sr5,Cr4Sr5,I4/mmm,0.8411270269282158,Sr5Cr4,3845.89326100429,3354.106738995711
28_CeSb,CeSb,P-6m2,-1.0332635248915611,CeSb,8756.075394461499,3239.485863538468
29_Nb2W6,Nb2W6,Pmmn,0.3700803438589179,NbW3,7216.253670434782,4948.761011304348
30_In5Br,In5Br,Amm2,-0.1449179659511769,In5Br,3300.0,2598.674605577421
31_CsNi,CsNi,Amm2,1.2079635948348568,CsNi,4468.32589501545,4621.493305513904
32_In4Br12,In4Br12,Pnma,-0.8565492677849518,InBr3,3300.0,5313.087185851691
35_Ag4Sn8,Ag4Sn8,I4_1/amd,0.0393953092254234,AgSn2,2162.639325641594,1537.519903663085
37_AlMn,AlMn,P-6m2,-0.1653908717519483,MnAl,1600.0,1536.507072772767
38_SbP,SbP,Fm-3m,-0.0401790750342963,SbP,6703.50491334064,3744.752821579815
39_CrTa3,CrTa3,Immm,0.0265847358564226,Ta3Cr,2369.92955783351,4738.811636895679
40_Al2Rh,Al2Rh,I4/mmm,-0.7879958682286438,Al2Rh,2649.59707634806,5591.987209022764
