file_name,formula,space_group,value_per_atom,composition,crystal_system
2_Ni4Ta6,Ni4Ta6,R-3c,0.1017402497441466,Ta3Ni2,trigonal
4_Ir2Na2,Ir2Na2,Imma,0.4721300324400452,NaIr,orthorhombic
5_MoSm,MoSm,R-3m,0.5114126186332761,SmMo,trigonal
6_Sn17P12,Sn17P12,I-43m,0.2150613449970501,Sn17P12,cubic
7_Sr6Br4,Sr6Br4,R-3c,-1.1913767863029878,Sr3Br2,trigonal
8_Ge4P12,Ge4P12,Pnma,0.2086850365686645,GeP3,orthorhombic
10_Ba2Bi3,Ba2Bi3,Immm,-0.8094130623309983,Ba2Bi3,orthorhombic
11_Mo3W3,Mo3W3,C2/m,-0.0006663757429568,MoW,monoclinic
12_InSn5,InSn5,Cm,0.0003555562973946,InSn5,monoclinic
13_Ga2Sr,Ga2Sr,P6/mmm,-0.533854310311091,SrGa2,hexagonal
16_Ac4I6,Ac4I6,R-3c,-1.145669893512698,Ac2I3,trigonal
17_Fe6Sb18,Fe6Sb18,Pmmn,0.1547501784091292,FeSb3,orthorhombic
18_InSn5,InSn5,Cm,-0.0004405329807042,InSn5,monoclinic
19_In4Sn2,In4Sn2,C2/m,0.0058372774279457,In2Sn,monoclinic
20_Sr6Br4,Sr6Br4,R-3c,-1.1928946056775946,Sr3Br2,trigonal
21_In2Sn4,In2Sn4,C2/m,0.0010884922752308,InSn2,monoclinic
22_RhGe3,RhGe3,Imm2,-0.0905160589754983,Ge3Rh,orthorhombic
23_CuEu,CuEu,Pm-3m,-0.1598074136543927,EuCu,cubic
24_Cu2Ga2,Cu2Ga2,Pmma,-0.0461503759196872,GaCu,orthorhombic
25_Fe4Na8,Fe4Na8,Pa-3,1.6371448910768656,Na2Fe,cubic
26_PtSm,PtSm,Pm-3m,-1.2893512592068015,SmPt,cubic
28_CeSb,CeSb,P-6m2,-1.0332635248915611,CeSb,hexagonal
29_Nb2W6,Nb2W6,Pmmn,0.3700803438589179,NbW3,orthorhombic
30_In5Br,In5Br,Amm2,-0.1449179659511769,In5Br,orthorhombic
31_CsNi,CsNi,Amm2,1.2079635948348568,CsNi,hexagonal
32_In4Br12,In4Br12,Pnma,-0.8565492677849518,InBr3,orthorhombic
34_Nb4W8,Nb4W8,Pnma,0.1253886633291424,NbW2,orthorhombic
36_Nb6Pt2,Nb6Pt2,Pm-3n,-0.4193485824946332,Nb3Pt,cubic
37_AlMn,AlMn,P-6m2,-0.1653908717519483,MnAl,hexagonal
38_SbP,SbP,Fm-3m,-0.0401790750342963,SbP,cubic
39_CrTa3,CrTa3,Immm,0.0265847358564226,Ta3Cr,orthorhombic
41_TaV5,TaV5,Cmmm,0.0285429832034746,TaV5,orthorhombic
43_Ir2Ta4,Ir2Ta4,Pnnm,-0.0336096433566623,Ta2Ir,orthorhombic
44_NiPt,NiPt,P-6m2,-0.0435195877614695,NiPt,hexagonal
47_Na2Pt2,Na2Pt2,Pmmn,-0.0622927350794983,NaPt,orthorhombic
48_Pb4As2,Pb4As2,Pnnm,0.0885945378502513,AsPb2,orthorhombic
49_Al3Sb5,Al3Sb5,Cmmm,0.2406565035847956,Al3Sb5,orthorhombic
50_Ir16Pd8,Ir16Pd8,Fd-3m,0.7219119116409539,Ir2Pd,cubic
51_Ag2Br2,Ag2Br2,P2_1/m,-0.4385558393715043,AgBr,monoclinic
53_NiRh,NiRh,P-6m2,0.0437963995323711,NiRh,hexagonal
