file_name,value_per_atom,composition,HHI_P,HHI_R
2_Ni4Ta6,0.1017402497441466,Ta3Ni2,2068.864277145416,4213.270857369133
3_Mn4Sb2,0.4959808317815088,Mn2Sb,4911.608307669154,2641.0433797255
5_MoSm,0.5114126186332761,SmMo,6734.372716199757,3956.954933008526
6_Sn17P12,0.2150613449970501,Sn17P12,2506.680361391871,2144.364558547426
7_Sr6Br4,-1.1913767863029878,Sr3Br2,3859.715899949842,4474.564433550682
8_Ge4P12,0.2086850365686645,GeP3,3447.874716315021,3696.000275088465
9_Mn8Sb,0.1088367267697947,Mn8Sb,2966.714252086129,2147.102032275842
10_Ba2Bi3,-0.8094130623309983,Ba2Bi3,4599.348310638743,4872.86467363624
11_Mo3W3,-0.0006663757429568,MoW,5422.603474158268,4642.912288226464
12_InSn5,0.0003555562973946,InSn5,2713.461647053509,1664.835226887719
13_Ga2Sr,-0.533854310311091,SrGa2,4998.357305805361,2324.466895087772
14_Pd2Ta2,-0.3572595305178883,TaPd,2633.294034114042,5985.045454627705
15_CuNb,0.2119333832970964,NbCu,5697.438607197922,5834.97128007896
17_Fe6Sb18,0.1547501784091292,FeSb3,7170.650044523599,3134.781834372217
18_InSn5,-0.0004405329807042,InSn5,2713.461647053509,1664.835226887719
19_In4Sn2,0.0058372774279457,In2Sn,3061.452693586262,1863.687253477864
20_Sr6Br4,-1.1928946056775946,Sr3Br2,3859.715899949842,4474.564433550682
21_In2Sn4,0.0010884922752308,InSn2,2828.176971252392,1730.386840715652
22_RhGe3,-0.0905160589754983,Ge3Rh,4626.420281430248,3856.588706321661
23_CuEu,-0.1598074136543927,EuCu,7170.579555473064,2628.218644146444
24_Cu2Ga2,-0.0461503759196872,GaCu,3640.382234428111,1709.269972761857
25_Fe4Na8,1.6371448910768656,Na2Fe,1812.976469392212,993.5990941946085
26_PtSm,-1.2893512592068015,SmPt,7241.063674575329,6488.404488137006
27_Cr4Sr5,0.8411270269282158,Sr5Cr4,3845.89326100429,3354.106738995711
28_CeSb,-1.0332635248915611,CeSb,8756.075394461499,3239.485863538468
29_Nb2W6,0.3700803438589179,NbW3,7216.253670434782,4948.761011304348
30_In5Br,-0.1449179659511769,In5Br,3300,2598.674605577421
31_CsNi,1.2079635948348568,CsNi,4468.32589501545,4621.493305513904
32_In4Br12,-0.8565492677849518,InBr3,3300,5313.087185851691
34_Nb4W8,0.1253886633291424,NbW2,7302.569889278966,5207.709667836899
35_Ag4Sn8,0.0393953092254234,AgSn2,2162.639325641594,1537.519903663085
37_AlMn,-0.1653908717519483,MnAl,1600,1536.507072772767
38_SbP,-0.0401790750342963,SbP,6703.50491334064,3744.752821579815
39_CrTa3,0.0265847358564226,Ta3Cr,2369.92955783351,4738.811636895679
40_Al2Rh,-0.7879958682286438,Al2Rh,2649.59707634806,5591.987209022764
41_TaV5,0.0285429832034746,TaV5,2884.653631501119,3981.484915898433
42_Au2P,0.3033008734032615,PAu2,1165.605867544161,1298.871174367844
43_Ir2Ta4,-0.0336096433566623,Ta2Ir,3410.052762546021,6291.633399671216
44_NiPt,-0.0435195877614695,NiPt,4459.244203778587,7342.279099714947
45_CaRh2,-0.0716643596461175,CaRh2,3314.094571127623,6940.550410957791
46_Cr3Sr,0.7330921242841102,SrCr3,3495.643333991494,3704.356666008506
48_Pb4As2,0.0885945378502513,AsPb2,2791.867924898472,2136.849057961063
49_Al3Sb5,0.2406565035847956,Al3Sb5,7160.666820938452,3118.349265119411
51_Ag2Br2,-0.4385558393715043,AgBr,2093.627491183466,3740.452953099553
52_Ca4Ta2,0.53492339105963,Ca2Ta,2791.18228346511,3786.936540353211
53_NiRh,0.0437963995323711,NiRh,2400.95074904594,5639.172667635732
54_Ba2Sn6,-0.2436607623660132,BaSn3,2711.318311423285,1794.807044990749
55_AgMn,0.829020340298344,MnAg,1334.977733808676,1534.977733808676
56_CsMn,-5.420664132459949,CsMn,4713.144708285081,4771.63813063576
60_CuMn3,0.2690644181336781,Mn3Cu,1600,1716.51870410744
63_Cr2Sr2,0.7446481806535772,SrCr,3790.335856681285,3409.664143318714
64_Ag3Al5,-0.0039340081548497,Al5Ag3,1317.691669392166,1282.308330607834
65_Al4P2,0.0048209866646065,Al2P,1745.867269334412,2495.139510677717
66_CsSb,-0.1281485487240288,CsSb,6908.423181369896,4756.894593914882
68_FePb3,0.7885119954880766,FePb3,2675.26957908022,1767.026105440294
69_FeP,-0.053819012798443,FeP,2257.294615650014,2720.024805237375
70_Al3Nb,-0.4241836065132585,NbAl3,5287.376187004847,5168.338298353307
71_Au6Mn2,0.0028625383247353,MnAu3,1142.532389001626,1068.051822402603
72_Ni4Ge4,-0.3244859129136115,NiGe,3378.31351354644,1721.238466376413
73_NiSb2,-0.0025785561335673,NiSb2,6559.938771742087,3030.997632798546
74_SmSb,-1.3450050363071764,SmSb,8784.08055269734,3234.234896369249
75_Fe8Pt,-0.0521674073461721,Fe8Pt,3342.223343990128,3740.361209265803
76_RhV,-0.2399275600042898,VRh,3233.111792885139,6476.857527283601
77_Au4Mn,-0.0475317577619271,MnAu4,1132.592408244191,1052.147853190705
78_Ni4Sb2,0.1770521249294952,Ni2Sb,4513.089031507007,2467.372342009176
79_Ag2Al6,0.0341048023002974,Al3Ag,1371.481189890713,1228.518810109287
80_Ag4Al5,0.0050849121442403,Al5Ag4,1295.27707586497,1304.72292413503
81_Mo2As,0.430459223416058,Mo2As,2652.732517346223,4934.941919388789
82_Al2Sn6,0.0934787482373256,AlSn3,2529.572628643349,1557.74357718601
83_IrMn2,-0.0004295886141948,Mn2Ir,4081.507604162678,6444.873207791678
85_Ni2Sb,0.1209554596631837,Ni2Sb,4513.089031507007,2467.372342009176
86_Ni2Sb2,-0.0582208439969926,NiSb,5655.739376481684,2782.015190625391
87_AuMn3,0.2960059875718608,Mn3Au,1327.781820834756,1364.45091333561
88_Ag2Al2,-0.0094356971058457,AlAg,1280.034381616517,1319.965618383483
89_Ba2Ge2,-0.1168555505437622,BaGe,3795.705991893965,2161.616349235832
90_IrSn,-0.0646903528158198,SnIr,4392.797987952156,6236.546520565921
91_V3Br,0.5709922328291892,V3Br,3300,4601.67491304245
92_InI,-0.3710410919205595,InI,4140.001146769682,3470.002006846943
93_GaGe,-0.0146410194391521,GaGe,5397.951012552418,1900
94_Al2Pd2,-0.7411901811862194,AlPd,2876.387077592522,6584.193464467283
95_Cr2W2,0.0864102135558599,CrW,6140.145253419643,4255.904884790752
96_Mn3Sn,0.1853687985945038,Mn3Sn,2018.69451431357,1716.261097137286
97_Ag3Al,-0.0385368658765874,AlAg3,1230.78448989198,1369.21551010802
98_Cr3Sn,0.4386852445490596,Cr3Sn,2883.926584183448,3019.632920917239
99_Al2Pd2,-0.7471028637113477,AlPd,2876.387077592522,6584.193464467283
100_Ge3Br,0.1809122110204661,Ge3Br,4763.414634146341,3241.463414634146
101_CrW3,0.0537844050765876,CrW3,6663.994398823826,4282.768943529428
102_Cr2Sn2,0.2075312870777024,CrSn,2752.297135251757,2361.485676258786
103_Fe2Pt,0.98433841365906,Fe2Pt,4371.354808425746,6296.590975767177
104_KSn2,-0.1852067996178531,KSn2,2472.744516366547,2391.811898163702
105_Cr3W,0.0703150051877337,Cr3W,5209.818399468201,4208.195815357343
107_Cr2Sn2,0.2026693071890291,CrSn,2752.297135251757,2361.485676258786
108_Fe2Pb2,0.4067883133950829,FePb,2636.309376722614,1715.079168963485
109_V2Br2,-0.1510803872846198,VBr,3300,5537.360474758399
110_Cr4Rh,0.6478040969868033,Cr4Rh,3133.100303354982,5390.911830844296
111_AgAl3,-0.0152064934718052,Al3Ag,1371.481189890713,1228.518810109287
112_VBr3,-0.2619159193614142,VBr3,3300,6286.571123347903
113_CsV,-0.1117365929441112,CsV,5251.866573916258,5279.575219326767
115_CrRh2,-0.0464562337250219,CrRh2,3179.831393316941,7213.424339360708
116_Ba2Ge2,-0.5915835598114554,BaGe,3795.705991893965,2161.616349235832
117_Mn2Sn,0.2038638021403187,Mn2Sn,2119.322938679252,1696.135412264149
118_CrTa,2.66607583354954,TaCr,2478.570315489587,4643.750973946611
120_Cu8Fe16,0.325100666679899,Fe2Cu,2109.895227008149,1436.263096623981
121_Fe12W12,0.1591388106529313,FeW,5928.230802928844,3624.31941923775
122_Na2Pt,-0.1094687629154324,Na2Pt,4660.760806580271,7459.668849225076
123_WP,0.5181687470777128,PW,6279.055454556957,4415.351127270887
124_PbV3,0.3868962014052073,V3Pb,2954.690166919196,2479.173778451189
125_Nb4I16,-0.5983008791202679,NbI4,5456.951634227066,5418.835149141185
126_Ta4Ge2,0.5502794154585248,Ta2Ge,2801.500728041347,4315.215962893365
127_Ge4As2,0.2688744583085179,Ge2As,4619.518114309796,2614.505979974714
128_As4Br2,0.1886815862388336,As2Br,3300,5008.593793526102
129_InPt,-0.2747187912913738,InPt,4684.904905421714,6469.465831133713
130_GaP,0.2827077846157659,GaP,4423.419533589372,2884.302140718288
131_NiSn,-0.1266843635676862,NiSn,2070.64464378924,1566.915290236828
132_Au2In4,-0.1418995868927499,In2Au,2284.23853185938,1538.290241754264
134_Au4Sr16,-0.1130436182400256,Sr4Au,3084.646651425082,2280.417194467795
135_Pt8Sn4,-0.3379489042611444,SnPt2,4823.4940398288,7350.415620246897
136_Cu6Pt4,-0.1196874372681321,Cu3Pt2,4219.902686955713,6605.451389964978
137_Au3P,0.2305156716459713,PAu3,1144.826459383814,1204.209426081819
138_Ge2As4,0.1196947121736281,GeAs2,3952.993124874148,3314.357218882144
141_CeBr,-0.8023102457033016,CeBr,7248.364694118718,4480.034542314335
142_Ce12Ga8,-0.4472578612747064,Ce3Ga2,8503.590606544549,2801.077181963365
143_Ba2Pt2,-0.4142137698980046,BaPt,4467.189713938467,6290.756021912633
144_CaRh4,-0.0123593460472001,CaRh4,3262.108921850786,7423.274297099845
145_Cu4Fe8,0.9290346282517644,Fe2Cu,2109.895227008149,1436.263096623981
146_RbRh,1.0519039009339617,RbRh,4470.40212174443,7092.569913039693
147_Cu2Ni26,0.2677396298890073,CuNi13,1046.128037619038,1500
150_YbP,-0.8482652900103984,YbP,8361.335565195843,3403.643849281109
151_Ir2Mo4,0.2558778878110732,Mo2Ir,3951.359942931083,7201.667026818746
152_Ni2As6,0.2952248090641767,NiAs3,2823.757576954909,3482.345192342293
153_Al3V,-0.2967745434488575,Al3V,2256.631287339801,1927.008876244424
154_Pd2Ta2,-0.3618708831950421,TaPd,2633.294034114042,5985.045454627705
155_NiAs3,0.142732757003877,NiAs3,2823.757576954909,3482.345192342293
156_Cr10Nb6,0.3962055410731953,Nb3Cr5,5893.919364787398,6531.744632314957
157_Ag3Al4,0.003962790239954,Al4Ag3,1300.040289874645,1299.959710125356
158_Cu2Ge4,0.1885786881460269,CuGe2,4174.085602367521,1778.279524580273
159_CrMn,0.2433130873062836,MnCr,2329.366190752262,2918.361492486801
160_Ba2Pt2,-0.4579160620289459,BaPt,4467.189713938467,6290.756021912633
161_Ni2Ta4,0.6395073564584782,Ta2Ni,2118.584435224151,4339.483566338229
162_FeAs3,0.0881821666677709,FeAs3,3120.888293994009,3482.566182649359
163_As3Br,0.2126619543483046,As3Br,3300,4760.568853784831
164_Mo3P,0.0756003152457989,Mo3P,2361.136301029629,5280.568150514814
165_Ni2Sn,-0.1054898433116857,Ni2Sn,1804.483584699157,1550.280224043697
166_K4Sn2,0.0339120821430973,K2Sn,2242.587196163054,3823.901890540998
167_Al3P,0.1003177873692511,Al3P,1710.701254284978,2134.687856421021
168_Fe8Mo16,0.2217364434622553,FeMo2,2400,4420.817438692098
169_Cu3Ta,0.0786238311665679,TaCu3,1940.872790968268,3106.971728850407
170_AlTa2,-0.109572504407905,Ta2Al,2251.431783012288,4536.34396492385
171_Cu5Pt5,-0.1138101380258533,CuPt,4541.760816610602,7232.662104164249
173_Ba2V,0.6621519240922341,Ba2V,3046.936920196993,2472.102040722307
174_PbSr7,-0.030999434316967,Sr7Pb,3821.225046920321,2696.980037536257
175_Fe3As,0.0166827533278075,Fe3As,2678.109319358599,2203.426922591507
176_In3K,-0.0780771556712189,KIn3,3136.900261059574,2530.074151556385
