file_name,formula,space_group,value_per_atom
10_Ba2Bi3,Ba2Bi3,Immm,-0.8094130623309983
16_Ac4I6,Ac4I6,R-3c,-1.145669893512698
19_In4Sn2,In4Sn2,C2/m,0.0058372774279457
21_In2Sn4,In2Sn4,C2/m,0.0010884922752308
25_Fe4Na8,Fe4Na8,Pa-3,1.6371448910768656
31_CsNi,CsNi,Amm2,1.2079635948348568
32_In4Br12,In4Br12,Pnma,-0.8565492677849518
35_Ag4Sn8,Ag4Sn8,I4_1/amd,0.0393953092254234
36_Nb6Pt2,Nb6Pt2,Pm-3n,-0.4193485824946332
46_Cr3Sr,Cr3Sr,P4/mmm,0.7330921242841102
48_Pb4As2,Pb4As2,Pnnm,0.0885945378502513
54_Ba2Sn6,Ba2Sn6,Cmcm,-0.2436607623660132
64_Ag3Al5,Ag3Al5,P1,-0.0039340081548497
72_Ni4Ge4,Ni4Ge4,Pnma,-0.3244859129136115
73_NiSb2,NiSb2,I4/mmm,-0.0025785561335673
76_RhV,RhV,P-6m2,-0.2399275600042898
83_IrMn2,IrMn2,I4/mmm,-0.0004295886141948
87_AuMn3,AuMn3,Pmmm,0.2960059875718608
96_Mn3Sn,Mn3Sn,I4/mmm,0.1853687985945038
98_Cr3Sn,Cr3Sn,P4/mmm,0.4386852445490596
99_Al2Pd2,Al2Pd2,P4/nmm,-0.7471028637113477
102_Cr2Sn2,Cr2Sn2,P4/nmm,0.2075312870777024
113_CsV,CsV,P-6m2,-0.1117365929441112
124_PbV3,PbV3,Fm-3m,0.3868962014052073
136_Cu6Pt4,Cu6Pt4,P1,-0.1196874372681321
138_Ge2As4,Ge2As4,Pnnm,0.1196947121736281
143_Ba2Pt2,Ba2Pt2,P6_3/mmc,-0.4142137698980046
148_CrTh,CrTh,F-43m,1.709790452893314
153_Al3V,Al3V,I4/mmm,-0.2967745434488575
154_Pd2Ta2,Pd2Ta2,P4/nmm,-0.3618708831950421
155_NiAs3,NiAs3,P4/mmm,0.142732757003877
156_Cr10Nb6,Cr10Nb6,I4/mcm,0.3962055410731953
160_Ba2Pt2,Ba2Pt2,P6_3/mmc,-0.4579160620289459
161_Ni2Ta4,Ni2Ta4,Fd-3m,0.6395073564584782
170_AlTa2,AlTa2,I4/mmm,-0.109572504407905
174_PbSr7,PbSr7,Fm-3m,-0.030999434316967
178_SrW2,SrW2,Fm-3m,3.2276063672278554
179_Al2Rh,Al2Rh,P4/mmm,-0.6991817297737448
181_WSb,WSb,F-43m,1.5974823249986905
183_AgP3,AgP3,Fm-3m,0.6377887469169732
184_W3Sb,W3Sb,Fm-3m,0.6142879079802093
188_BiBr,BiBr,P-6m2,-0.3222004881677978
192_Ir3V,Ir3V,P4/mmm,-0.0203825605630481
196_Au8Mn4,Au8Mn4,Pnma,-0.0326742680376834
200_CsW,CsW,P-6m2,2.392753487086816
209_CuI,CuI,P-6m2,0.163268240844149
215_AgAl2,AgAl2,P4/mmm,0.1927638806395458
221_Mo7Nb,Mo7Nb,Fm-3m,0.4178278478907451
224_K2As6,K2As6,I4/mmm,0.0183152754736446
231_Ba3Ir,Ba3Ir,Pm-3m,0.3315548688782104
233_Ag6Al6,Ag6Al6,Cmm2,-0.0259394001015677
243_FePb3,FePb3,Pm-3m,0.4786018239383995
244_Ni4Rh2,Ni4Rh2,Cmmm,0.1668692690605411
245_AlRh2,AlRh2,I4/mmm,-0.637019060757113
257_AcMn,AcMn,P4/mmm,0.4122934724034772
258_Cr5Nb,Cr5Nb,F-43m,0.1469112927238486
260_CuNi,CuNi,F-43m,1.2524800810011456
276_K5Ge,K5Ge,Amm2,0.1171544290501849
280_K3P,K3P,Imm2,0.1089889412197191
285_MoPb3,MoPb3,Immm,0.5025277881857404
293_Mo4Pb2,Mo4Pb2,Cmcm,0.5902547794711998
296_Ag2Ge2,Ag2Ge2,Pmmn,0.173659045568022
299_NbW3,NbW3,Cmmm,0.4719516784127222
303_Sb3Ge,Sb3Ge,Immm,0.2660213422478197
304_AlCu5,AlCu5,Cmmm,-0.1362652104227132
305_Au3Ga,Au3Ga,P4/mmm,-0.0390593413436333
312_Nb2W4,Nb2W4,Pnnm,0.1948479195466153
315_CrNa,CrNa,Cmmm,0.9867061782141312
316_MnW,MnW,F-43m,1.98968045727348
321_PAs,PAs,Pm-3m,0.552972441845033
322_Nb4V8,Nb4V8,I4_1/amd,0.1597620642543861
325_Fe5Ir,Fe5Ir,P4/mmm,0.1523481086559973
332_FePd2,FePd2,Fm-3m,0.637573661042404
337_SmYb3,SmYb3,Pm-3m,-0.1239708918231743
339_Na2Pt,Na2Pt,I4/mmm,0.0049673128952048
358_SbGe,SbGe,Cmmm,0.3136889612467888
360_Au3Cr,Au3Cr,P4/mmm,0.0727205118778444
367_Al3Rh,Al3Rh,Pmmm,-0.5352493491958317
373_Mn8W16,Mn8W16,Fd-3m,0.2505562964440694
378_CaW3,CaW3,P4/mmm,0.7728979899659549
383_Ni3Sm,Ni3Sm,Pm-3m,-0.3299709059681639
395_Ir2Pb2,Ir2Pb2,P4/nmm,0.3738050343011903
401_AlGa3,AlGa3,Cmmm,0.0361313760628045
471_Mo3W3,Mo3W3,Cm,-0.0025435217114875
473_Ba4Br,Ba4Br,I4/mmm,-0.1948690422078861
481_RbW,RbW,P4/mmm,2.187420242882454
482_MnMo3,MnMo3,I4/mmm,0.3761156942213759
483_Fe2Ga,Fe2Ga,I4/mmm,-0.1236527609692442
498_Ge4Br5,Ge4Br5,I4/mmm,0.2780708243690522
501_FeSb3,FeSb3,Immm,0.3358709608334767
506_MnRh,MnRh,Pm-3m,-0.1937437766726706
507_Ba2Pd4,Ba2Pd4,Cmcm,-0.2163654657637609
515_Ni4U6,Ni4U6,R-3c,0.0729580915631913
520_V2Br2,V2Br2,I4_1/amd,0.6952620889988701
522_FeTh,FeTh,Fm-3m,0.1634547455125092
