file_name,value_per_atom,space_group
13_Ga2Sr,-0.533854310311091,P6/mmm
20_Sr6Br4,-1.1928946056775946,R-3c
21_In2Sn4,0.0010884922752308,C2/m
32_In4Br12,-0.8565492677849518,Pnma
37_AlMn,-0.1653908717519483,P-6m2
41_TaV5,0.0285429832034746,Cmmm
52_Ca4Ta2,0.53492339105963,I4/mcm
56_CsMn,-5.420664132459949,P-6m2
57_Ga2Np,-0.2534501835418178,P6/mmm
58_Na2Pt4,-0.0507407090270112,Cmcm
61_NpPd,0.0645258048743269,P-6m2
71_Au6Mn2,0.0028625383247353,Cmcm
72_Ni4Ge4,-0.3244859129136115,Pnma
73_NiSb2,-0.0025785561335673,I4/mmm
75_Fe8Pt,-0.0521674073461721,I4/mmm
77_Au4Mn,-0.0475317577619271,Immm
83_IrMn2,-0.0004295886141948,I4/mmm
87_AuMn3,0.2960059875718608,Pmmm
92_InI,-0.3710410919205595,R-3m
96_Mn3Sn,0.1853687985945038,I4/mmm
98_Cr3Sn,0.4386852445490596,P4/mmm
100_Ge3Br,0.1809122110204661,P4/mmm
111_AgAl3,-0.0152064934718052,P4/mmm
117_Mn2Sn,0.2038638021403187,I4/mmm
119_IrP,-0.126183099143863,R-3m
122_Na2Pt,-0.1094687629154324,P4/mmm
125_Nb4I16,-0.5983008791202679,Cmc2_1
131_NiSn,-0.1266843635676862,P-6m2
137_Au3P,0.2305156716459713,Immm
143_Ba2Pt2,-0.4142137698980046,P6_3/mmc
152_Ni2As6,0.2952248090641767,I4/mmm
157_Ag3Al4,0.003962790239954,P-1
162_FeAs3,0.0881821666677709,Imm2
164_Mo3P,0.0756003152457989,Fm-3m
166_K4Sn2,0.0339120821430973,Pnnm
167_Al3P,0.1003177873692511,Pm-3m
173_Ba2V,0.6621519240922341,I4/mmm
179_Al2Rh,-0.6991817297737448,P4/mmm
183_AgP3,0.6377887469169732,Fm-3m
185_AgSn,0.0542811791472521,P4/mmm
193_Eu8Ge4,-0.8865988076880225,Pnma
196_Au8Mn4,-0.0326742680376834,Pnma
203_NaPb3,-0.0546219459481367,Fm-3m
204_Ni3Sb,-0.1361405822875303,I4/mmm
212_Fe2Ga4,-0.1746195386096053,I4/mcm
215_AgAl2,0.1927638806395458,P4/mmm
226_Al4Pb2,0.4596315211143362,Pnnm
229_Pd2Rh2,0.0413431690888472,P4/nmm
236_VW2,0.4517394004088544,Immm
243_FePb3,0.4786018239383995,Pm-3m
245_AlRh2,-0.637019060757113,I4/mmm
255_Mo2Pb2,0.5946080176813062,Cmcm
260_CuNi,1.2524800810011456,F-43m
268_FeW2,0.3111246762356288,I4/mmm
272_NbPb3,0.5071251497625129,Cmmm
283_Fe3Pb,0.3868168751662972,Pm-3m
284_Cu6Pt6,-0.0941277396963631,P1
291_Fe24Pb5,0.554399661464772,I-43m
293_Mo4Pb2,0.5902547794711998,Cmcm
294_RhU,-0.4408425554688815,P4/mmm
296_Ag2Ge2,0.173659045568022,Pmmn
299_NbW3,0.4719516784127222,Cmmm
300_Ag2Ca4,-0.2481122537202737,I4/mcm
310_Ba6Sn2,-0.1445053251641583,Cmcm
315_CrNa,0.9867061782141312,Cmmm
319_GaNa3,0.0242168552505561,P4/mmm
325_Fe5Ir,0.1523481086559973,P4/mmm
339_Na2Pt,0.0049673128952048,I4/mmm
343_TaGe3,0.210347076036002,Cmmm
345_Cu6Pt4,-0.1122154596063794,P-1
351_Cr3Rh,0.1470079694940231,Pm-3m
356_Ag3Ca,-0.1590576046828498,P4/mmm
359_As6Br2,0.7613573160563023,Pm-3n
366_NiAs3,0.0077896201439395,Fm-3m
378_CaW3,0.7728979899659549,P4/mmm
382_AuNb2,0.0519616767212696,Immm
383_Ni3Sm,-0.3299709059681639,Pm-3m
386_Na2Pt2,-0.0678347584527458,Cmcm
400_Ga3Na,-0.0132315287682867,I4/mmm
401_AlGa3,0.0361313760628045,Cmmm
406_As4Br,0.8804043387066216,Im-3m
463_Ni3Sb,0.0449342540232127,P4/mmm
470_P24As5,0.2436816057725621,I-43m
482_MnMo3,0.3761156942213759,I4/mmm
485_PI,0.6799114991940689,R-3m
492_MoW3,-0.0002471644391786,P4/mmm
493_Fe3Na,1.1195761482720776,Fm-3m
501_FeSb3,0.3358709608334767,Immm
506_MnRh,-0.1937437766726706,Pm-3m
511_AgP,0.4563419294753772,Pm-3m
528_IrTa3,-0.316739098636301,Immm
529_AlPd3,-0.60903041698508,P4/mmm
530_AuNb,1.243237284066657,F-43m
535_MoTa2,-0.1505603280492735,I4/mmm
536_KSn3,-0.1798566029982073,P4/mmm
542_Fe12Mo17,0.1109067026742717,I-43m
