file_name,value_per_atom,space_group
8_Ge4P12,0.2086850365686645,Pnma
11_Mo3W3,-0.0006663757429568,C2/m
17_Fe6Sb18,0.1547501784091292,Pmmn
23_CuEu,-0.1598074136543927,Pm-3m
31_CsNi,1.2079635948348568,Amm2
50_Ir16Pd8,0.7219119116409539,Fd-3m
53_NiRh,0.0437963995323711,P-6m2
54_Ba2Sn6,-0.2436607623660132,Cmcm
57_Ga2Np,-0.2534501835418178,P6/mmm
66_CsSb,-0.1281485487240288,P-6m2
72_Ni4Ge4,-0.3244859129136115,Pnma
75_Fe8Pt,-0.0521674073461721,I4/mmm
77_Au4Mn,-0.0475317577619271,Immm
81_Mo2As,0.430459223416058,Fmmm
87_AuMn3,0.2960059875718608,Pmmm
93_GaGe,-0.0146410194391521,R-3m
94_Al2Pd2,-0.7411901811862194,P4/nmm
95_Cr2W2,0.0864102135558599,P4/nmm
96_Mn3Sn,0.1853687985945038,I4/mmm
102_Cr2Sn2,0.2075312870777024,P4/nmm
104_KSn2,-0.1852067996178531,I4/mmm
125_Nb4I16,-0.5983008791202679,Cmc2_1
133_AlNb5,0.0071761993991602,P4/mmm
135_Pt8Sn4,-0.3379489042611444,I4_1/amd
136_Cu6Pt4,-0.1196874372681321,P1
151_Ir2Mo4,0.2558778878110732,Pnnm
155_NiAs3,0.142732757003877,P4/mmm
156_Cr10Nb6,0.3962055410731953,I4/mcm
169_Cu3Ta,0.0786238311665679,P4/mmm
170_AlTa2,-0.109572504407905,I4/mmm
180_Pd2Rh2,0.0643234389585014,P4/nmm
182_Cu6Ni2,0.1032142976761845,Pm-3n
188_BiBr,-0.3222004881677978,P-6m2
190_CrCu,0.99933812170078,Fm-3m
193_Eu8Ge4,-0.8865988076880225,Pnma
204_Ni3Sb,-0.1361405822875303,I4/mmm
216_Cr5Rh4,0.043413251064886,I4/mmm
218_Ag5Al2,-0.0047721081775178,I4/mmm
232_Ta3Ge,-0.1070394710213111,P4/mmm
236_VW2,0.4517394004088544,Immm
240_PaBi,0.5006361656619811,F-43m
242_Ag7Ta,0.3318113890532039,Fm-3m
251_Ba2Ni2,0.597629677831121,P6_3mc
265_Pd16Ta14,-0.2155509804832832,P4_2/mnm
268_FeW2,0.3111246762356288,I4/mmm
274_CsBr,-1.85028031224608,F-43m
276_K5Ge,0.1171544290501849,Amm2
283_Fe3Pb,0.3868168751662972,Pm-3m
285_MoPb3,0.5025277881857404,Immm
288_As2Br6,0.3046454324844947,I4/mmm
296_Ag2Ge2,0.173659045568022,Pmmn
297_FePd3,-0.1061349423812592,Pm-3m
300_Ag2Ca4,-0.2481122537202737,I4/mcm
305_Au3Ga,-0.0390593413436333,P4/mmm
323_TaYb,3.229303225683664,F-43m
324_BaGa4,-0.469580045886774,I4/mmm
326_Ba16Ir8,0.0796746013083324,Fd-3m
328_Ba2In,-0.3119255525568878,I4/mmm
332_FePd2,0.637573661042404,Fm-3m
343_TaGe3,0.210347076036002,Cmmm
363_Nb8P,-0.147451398258034,I4/mmm
366_NiAs3,0.0077896201439395,Fm-3m
369_Ba3Sn,-0.3223431693894989,Immm
373_Mn8W16,0.2505562964440694,Fd-3m
377_Au3Nb,-0.0381561659350113,Pmmm
390_Pb6As2,0.28922667106808,Pmmn
392_FePd3,-0.0230776675298578,Fm-3m
395_Ir2Pb2,0.3738050343011903,P4/nmm
398_Nb2V4,0.4809952880147084,I4_1/amd
401_AlGa3,0.0361313760628045,Cmmm
403_Ag3Mn,0.2277962190790639,P4/mmm
405_NaPt,-0.1344248556811007,P4/mmm
425_CsYb,0.2133070813367397,P-6m2
444_Al2Pd,-0.5890005074909356,I4/mmm
452_AgAl2,0.0093127224340404,I4/mmm
473_Ba4Br,-0.1948690422078861,I4/mmm
483_Fe2Ga,-0.1236527609692442,I4/mmm
488_Ga2Sr,-0.531548045592905,P6/mmm
493_Fe3Na,1.1195761482720776,Fm-3m
503_Sn2W,0.537531149489921,P4/mmm
519_Ag4Al,-0.0485466401328874,I4/m
530_AuNb,1.243237284066657,F-43m
532_AlPd,-0.2299419746504174,P4/mmm
534_Ni2Sb2,-0.0458101554117664,P4/nmm
540_V2Br,0.4320593342627887,I4/mmm
551_Ca12P12,-0.942817899372234,Pbcm
560_Ir4As12,-0.42536219858306,Im-3
569_CuNi,0.0094961468601439,P-6m2
572_Ni2Sn2,-0.0386517674134507,P4/nmm
575_AcRb,0.98654844080828,Fm-3m
581_BaPd3,-0.1696675891449359,Immm
594_AlP2,0.0056815618477751,I4/mmm
600_Ni4Ta4,0.0027783047602145,P2_13
601_VGe3,0.1048692303345815,P4/mmm
603_CrP7,0.6510238187764203,Fm-3m
609_GaP2,0.4456024952488941,Fm-3m
610_CuNi4,0.8709995730334945,Im-3m
612_NiTa2,0.3244954078270427,Fm-3m
614_Ge18P6,0.3569418465741094,Pmmn
621_V3Br,0.5547448324913553,I4/mmm
622_Fe2Pb2,1.216375423914755,Fd-3m
626_AgAl2,0.0462782463932066,I4/mmm
636_Pd3Sb,-0.3289871844330214,Pmm2
637_KAs2,-0.2475392953244745,I4/mmm
641_Al6Rh6,-0.7913171802790396,I4/mmm
643_Al4Pb8,0.190216711141165,Pnma
645_CaBr3,-1.3581370482902582,Immm
660_Al3Ca,-0.0211971321280866,Fm-3m
665_AsBr4,0.0831803890341781,Im-3m
666_Ag3Ta,0.4492187079928644,Fm-3m
673_Fe3Ga,-0.1088279660592226,I4/mmm
681_Pt3V,-0.4605299601087775,I4/mmm
687_In3Ni,0.2402447399500977,Fm-3m
689_In3Sr,-0.3304793817924882,Pm-3m
697_Ge2P6,0.3548940576013857,Cmcm
698_TaGe2,-0.1885119228950221,I4/mmm
699_NbW3,-0.0676890586603047,Immm
703_Pb5As,0.0742787194289308,Cmmm
709_CeTa,0.7696654382297821,P-6m2
711_CrNb,0.0374160302242572,Pm-3m
713_Ir18Ta6,-0.5508677004764083,Pmmn
715_Mo2Sr2,0.547790505542185,P4/nmm
721_AgMn3,0.5190592754356258,P4/mmm
724_Mo2W6,0.3719728802045488,I4/mmm
725_SrV,1.1938333385077635,P-6m2
729_CrNb,0.0704811032511401,Pm-3m
731_Cr6Pb18,0.8597710145046591,Pmmn
732_AgSn2,-0.0005459262697555,I4/mmm
742_SnW2,0.4336866222469631,I4/mmm
746_GaAs2,0.1942717367305538,I4/mmm
749_Mo10W6,0.344623366699313,I4/mcm
761_CuMo,0.34300430186188,P-6m2
762_Na2Pt4,0.3152627011305847,I4/mcm
763_PbAs3,0.2528127421578459,Immm
765_K2As2,-0.1608951117004919,P4/nmm
775_MoI,1.3140727451876053,F-43m
776_As17Br12,0.0012304841898449,I-43m
779_As4Br2,0.4452598407995474,I4/mcm
785_Mn4W16,0.9153041860879512,I-43m
788_CrTa3,0.0310400462610473,Immm
793_PdRh2,0.8060997154070506,P4/mmm
794_Sb5Ge,0.1763970050717992,Amm2
802_FePd,0.0486880392537516,Pm-3m
804_Au16Sr4,-0.4516277814634968,I-43m
805_Ca2Cu2,0.0082695203874965,P4/nmm
807_Mo2Ta,-0.1665484888315755,I4/mmm
810_Cu3K,0.7647491590705378,Pm-3m
817_SmI3,-0.8819491333694671,Pm-3m
819_Au3Nb,-0.0370355227978214,Pmmm
