file_name,formula,space_group,value_per_atom
2_Ni4Ta6,Ni4Ta6,R-3c,0.1017402497441466
8_Ge4P12,Ge4P12,Pnma,0.2086850365686645
9_Mn8Sb,Mn8Sb,I4/mmm,0.1088367267697947
14_Pd2Ta2,Pd2Ta2,P4/nmm,-0.3572595305178883
27_Cr4Sr5,Cr4Sr5,I4/mmm,0.8411270269282158
28_CeSb,CeSb,P-6m2,-1.0332635248915611
34_Nb4W8,Nb4W8,Pnma,0.1253886633291424
47_Na2Pt2,Na2Pt2,Pmmn,-0.0622927350794983
51_Ag2Br2,Ag2Br2,P2_1/m,-0.4385558393715043
55_AgMn,AgMn,P4/mmm,0.829020340298344
59_GaNp,GaNp,P-6m2,-0.1856436631432938
61_NpPd,NpPd,P-6m2,0.0645258048743269
62_FeIr2,FeIr2,I4/mmm,0.0148692361136006
66_CsSb,CsSb,P-6m2,-0.1281485487240288
68_FePb3,FePb3,Fm-3m,0.7885119954880766
70_Al3Nb,Al3Nb,I4/mmm,-0.4241836065132585
79_Ag2Al6,Ag2Al6,I4/mmm,0.0341048023002974
91_V3Br,V3Br,I4/mmm,0.5709922328291892
105_Cr3W,Cr3W,P4/mmm,0.0703150051877337
107_Cr2Sn2,Cr2Sn2,P4/nmm,0.2026693071890291
112_VBr3,VBr3,P4/mmm,-0.2619159193614142
117_Mn2Sn,Mn2Sn,I4/mmm,0.2038638021403187
126_Ta4Ge2,Ta4Ge2,I4_1/amd,0.5502794154585248
128_As4Br2,As4Br2,I4_1/amd,0.1886815862388336
145_Cu4Fe8,Cu4Fe8,Pa-3,0.9290346282517644
159_CrMn,CrMn,P-6m2,0.2433130873062836
166_K4Sn2,K4Sn2,Pnnm,0.0339120821430973
177_Au3Sr,Au3Sr,Pm-3m,0.7382655086643606
180_Pd2Rh2,Pd2Rh2,P4/nmm,0.0643234389585014
182_Cu6Ni2,Cu6Ni2,Pm-3n,0.1032142976761845
187_Ta2Ge2,Ta2Ge2,P4/nmm,0.1017352688524066
191_Mo4Nb,Mo4Nb,Im-3m,1.5855713652165122
198_K8P4,K8P4,Pnma,-0.0861383471739086
199_Al2V,Al2V,Fmmm,3.021478292177701
202_K3Na,K3Na,P4/mmm,0.0175885883206032
207_CrRh3,CrRh3,I4/mmm,-0.0699913797349944
213_Mn2Sn2,Mn2Sn2,I4_1/amd,0.1906174282030415
214_PI,PI,R-3m,0.6761453129882056
218_Ag5Al2,Ag5Al2,I4/mmm,-0.0047721081775178
222_BaIr2,BaIr2,Fm-3m,1.7617864823163814
223_Pd12Ta18,Pd12Ta18,P4_2/mnm,-0.1882194332244068
225_AlPd2,AlPd2,I4/mmm,-0.7917135539533374
