file_name,value_per_atom,space_group
5_MoSm,0.5114126186332761,R-3m
6_Sn17P12,0.2150613449970501,I-43m
17_Fe6Sb18,0.1547501784091292,Pmmn
20_Sr6Br4,-1.1928946056775946,R-3c
22_RhGe3,-0.0905160589754983,Imm2
29_Nb2W6,0.3700803438589179,Pmmn
32_In4Br12,-0.8565492677849518,Pnma
47_Na2Pt2,-0.0622927350794983,Pmmn
48_Pb4As2,0.0885945378502513,Pnnm
60_CuMn3,0.2690644181336781,I4/mmm
64_Ag3Al5,-0.0039340081548497,P1
67_Ac3Yb,0.0483534304371855,Fm-3m
71_Au6Mn2,0.0028625383247353,Cmcm
74_SmSb,-1.3450050363071764,P-6m2
75_Fe8Pt,-0.0521674073461721,I4/mmm
84_AcMn,0.3485148062906855,P4/mmm
85_Ni2Sb,0.1209554596631837,P4/mmm
88_Ag2Al2,-0.0094356971058457,I4_1/amd
91_V3Br,0.5709922328291892,I4/mmm
94_Al2Pd2,-0.7411901811862194,P4/nmm
98_Cr3Sn,0.4386852445490596,P4/mmm
104_KSn2,-0.1852067996178531,I4/mmm
105_Cr3W,0.0703150051877337,P4/mmm
107_Cr2Sn2,0.2026693071890291,P4/nmm
114_CrNb3,0.0723080494381864,Immm
116_Ba2Ge2,-0.5915835598114554,Cmcm
122_Na2Pt,-0.1094687629154324,P4/mmm
123_WP,0.5181687470777128,F-43m
125_Nb4I16,-0.5983008791202679,Cmc2_1
126_Ta4Ge2,0.5502794154585248,I4_1/amd
131_NiSn,-0.1266843635676862,P-6m2
133_AlNb5,0.0071761993991602,P4/mmm
134_Au4Sr16,-0.1130436182400256,I-43m
135_Pt8Sn4,-0.3379489042611444,I4_1/amd
137_Au3P,0.2305156716459713,Immm
141_CeBr,-0.8023102457033016,F-43m
144_CaRh4,-0.0123593460472001,I4/m
159_CrMn,0.2433130873062836,P-6m2
175_Fe3As,0.0166827533278075,Cmmm
189_CaW2,0.6406378987075527,I4/mmm
190_CrCu,0.99933812170078,Fm-3m
192_Ir3V,-0.0203825605630481,P4/mmm
196_Au8Mn4,-0.0326742680376834,Pnma
203_NaPb3,-0.0546219459481367,Fm-3m
208_PI,0.6765507848780659,R-3m
212_Fe2Ga4,-0.1746195386096053,I4/mcm
219_Ag4Al2,0.0373786797866924,I4_1/amd
222_BaIr2,1.7617864823163814,Fm-3m
225_AlPd2,-0.7917135539533374,I4/mmm
234_Ag5In,0.0038147416913586,P4/mmm
241_CrTa,2.5070367353222007,F-43m
243_FePb3,0.4786018239383995,Pm-3m
246_WSb,0.6402363637939983,Pm-3m
247_Ba4Ir2,1.2154619112347849,Fd-3m
254_NbP2,-0.6493615298102936,I4/mmm
264_Cr4P,0.722891464014863,Im-3m
267_CrP7,0.6510238187764203,Fm-3m
269_SnP3,0.5314056150159168,Fm-3m
271_PtV2,-0.3400272227183064,Fmmm
276_K5Ge,0.1171544290501849,Amm2
281_YbBi,-0.1419430461440991,F-43m
283_Fe3Pb,0.3868168751662972,Pm-3m
285_MoPb3,0.5025277881857404,Immm
286_Ca3P5,-0.4401060503561709,Cmmm
288_As2Br6,0.3046454324844947,I4/mmm
300_Ag2Ca4,-0.2481122537202737,I4/mcm
304_AlCu5,-0.1362652104227132,Cmmm
308_Na4Pb,-0.0642697687374035,Im-3m
312_Nb2W4,0.1948479195466153,Pnnm
314_Mo3Ta,-0.1259140954870599,P4/mmm
319_GaNa3,0.0242168552505561,P4/mmm
320_AuGa3,-0.044392137011382,P4/mmm
324_BaGa4,-0.469580045886774,I4/mmm
329_SnTa,1.464329287677855,F-43m
330_FePd3,1.3101389883025163,Pm-3m
