file_name,formula,space_group,value_per_atom
6_Sn17P12,Sn17P12,I-43m,0.2150613449970501
11_Mo3W3,Mo3W3,C2/m,-0.0006663757429568
13_Ga2Sr,Ga2Sr,P6/mmm,-0.533854310311091
18_InSn5,InSn5,Cm,-0.0004405329807042
37_AlMn,AlMn,P-6m2,-0.1653908717519483
39_CrTa3,CrTa3,Immm,0.0265847358564226
41_TaV5,TaV5,Cmmm,0.0285429832034746
43_Ir2Ta4,Ir2Ta4,Pnnm,-0.0336096433566623
45_CaRh2,CaRh2,I4/mmm,-0.0716643596461175
50_Ir16Pd8,Ir16Pd8,Fd-3m,0.7219119116409539
53_NiRh,NiRh,P-6m2,0.0437963995323711
58_Na2Pt4,Na2Pt4,Cmcm,-0.0507407090270112
63_Cr2Sr2,Cr2Sr2,P4/nmm,0.7446481806535772
65_Al4P2,Al4P2,I4_1/amd,0.0048209866646065
67_Ac3Yb,Ac3Yb,Fm-3m,0.0483534304371855
71_Au6Mn2,Au6Mn2,Cmcm,0.0028625383247353
78_Ni4Sb2,Ni4Sb2,I4_1/amd,0.1770521249294952
82_Al2Sn6,Al2Sn6,Cmcm,0.0934787482373256
85_Ni2Sb,Ni2Sb,P4/mmm,0.1209554596631837
92_InI,InI,R-3m,-0.3710410919205595
93_GaGe,GaGe,R-3m,-0.0146410194391521
95_Cr2W2,Cr2W2,P4/nmm,0.0864102135558599
101_CrW3,CrW3,P4/mmm,0.0537844050765876
110_Cr4Rh,Cr4Rh,I4/mmm,0.6478040969868033
118_CrTa,CrTa,F-43m,2.66607583354954
120_Cu8Fe16,Cu8Fe16,Fd-3m,0.325100666679899
123_WP,WP,F-43m,0.5181687470777128
131_NiSn,NiSn,P-6m2,-0.1266843635676862
134_Au4Sr16,Au4Sr16,I-43m,-0.1130436182400256
137_Au3P,Au3P,Immm,0.2305156716459713
141_CeBr,CeBr,F-43m,-0.8023102457033016
147_Cu2Ni26,Cu2Ni26,Fm-3c,0.2677396298890073
150_YbP,YbP,R-3m,-0.8482652900103984
158_Cu2Ge4,Cu2Ge4,Pnnm,0.1885786881460269
164_Mo3P,Mo3P,Fm-3m,0.0756003152457989
165_Ni2Sn,Ni2Sn,I4/mmm,-0.1054898433116857
169_Cu3Ta,Cu3Ta,P4/mmm,0.0786238311665679
176_In3K,In3K,Cmmm,-0.0780771556712189
193_Eu8Ge4,Eu8Ge4,Pnma,-0.8865988076880225
194_Al12Pb12,Al12Pb12,Pbcm,0.2570537015373606
201_CrPd,CrPd,Fm-3m,0.7786205625391744
204_Ni3Sb,Ni3Sb,I4/mmm,-0.1361405822875303
206_Cr12W18,Cr12W18,P4_2/mnm,0.3346698123646452
208_PI,PI,R-3m,0.6765507848780659
210_Al18Pb6,Al18Pb6,Pmmn,0.208434471028663
220_Cr8Rh,Cr8Rh,I4/mmm,0.215390972454407
227_Ir2Na4,Ir2Na4,Cmcm,0.2310379275124135
229_Pd2Rh2,Pd2Rh2,P4/nmm,0.0413431690888472
239_Pb2Sb6,Pb2Sb6,Cmcm,0.156305874512693
240_PaBi,PaBi,F-43m,0.5006361656619811
246_WSb,WSb,Pm-3m,0.6402363637939983
254_NbP2,NbP2,I4/mmm,-0.6493615298102936
255_Mo2Pb2,Mo2Pb2,Cmcm,0.5946080176813062
259_K2As2,K2As2,P4/nmm,-0.160004924188351
261_Fe3Na,Fe3Na,Fm-3m,1.127116443806946
268_FeW2,FeW2,I4/mmm,0.3111246762356288
270_FeNa,FeNa,Fm-3m,2.2341407373912583
273_Ba3Br,Ba3Br,P4/mmm,-0.6944199402649203
286_Ca3P5,Ca3P5,Cmmm,-0.4401060503561709
290_W24P5,W24P5,I-43m,0.4316480836713108
308_Na4Pb,Na4Pb,Im-3m,-0.0642697687374035
309_Fe16Pd8,Fe16Pd8,Fd-3m,0.2678129794078536
342_Ag3Ge,Ag3Ge,Pmmm,0.0800694173601241
343_TaGe3,TaGe3,Cmmm,0.210347076036002
344_Nb3W,Nb3W,Immm,-0.0274865342817491
363_Nb8P,Nb8P,I4/mmm,-0.147451398258034
364_Ca2Sn,Ca2Sn,I4/mmm,-0.4536710840000347
366_NiAs3,NiAs3,Fm-3m,0.0077896201439395
379_P3As,P3As,Fm-3m,0.6037013122326167
380_MoTa2,MoTa2,I4/mmm,-0.1507586219781795
386_Na2Pt2,Na2Pt2,Cmcm,-0.0678347584527458
391_Ga2Na,Ga2Na,I4/mmm,-0.0480496307103811
396_Au2Nb2,Au2Nb2,Cmme,-0.1082128533063704
397_AuNb3,AuNb3,Pmm2,0.0958726177621862
399_Au2Nb2,Au2Nb2,Pmma,-0.0960918000005977
403_Ag3Mn,Ag3Mn,P4/mmm,0.2277962190790639
404_Au3P,Au3P,Cmmm,0.2363162278525057
461_Nb2Pt2,Nb2Pt2,Pmma,-0.6457401466596764
