file_name,formula,space_group,value_per_atom,structural_complexity
3001_Cu8Ta4,Cu8Ta4,Pnma,0.1459014699692117,19.019550008653876
970_Nb4W8,Nb4W8,Pnma,0.124329705043389,19.019550008653876
3682_Al4Pt8,Al4Pt8,Pnma,-0.8627738744258586,19.019550008653876
2960_Cu4Mn8,Cu4Mn8,Pnma,0.3612515646588257,19.019550008653876
2949_Al4Cu8,Al4Cu8,Pnma,-0.1947568048805603,19.019550008653876
3729_Ni8Pt4,Ni8Pt4,Pnma,-0.0452248635459563,19.019550008653876
2919_Ag8Au4,Ag8Au4,I4_1/amd,-0.0441376497046051,19.019550008653876
2240_Fe4Pb8,Fe4Pb8,Pnma,0.8179783771490255,19.019550008653876
2286_Fe8Sb4,Fe8Sb4,Pnma,0.3155557497340489,19.019550008653876
2838_Nb4Sn8,Nb4Sn8,Fddd,-0.3024282431053073,19.019550008653876
3708_Ni8Ge4,Ni8Ge4,Pnma,-0.4454890874569628,19.019550008653876
643_Al4Pb8,Al4Pb8,Pnma,0.190216711141165,19.019550008653876
1352_Fe4Pt8,Fe4Pt8,I4_1/amd,-0.2230040031542503,19.019550008653876
1063_Pb8Sb4,Pb8Sb4,Pnma,0.0237348567169709,19.019550008653876
2030_Cr8Rh4,Cr8Rh4,I4_1/amd,0.0901796025136161,19.019550008653876
786_Al8Ta4,Al8Ta4,I4_1/amd,-0.2256334324555962,19.019550008653876
3118_Mo4Ge8,Mo4Ge8,Pnma,-0.387930767527448,19.019550008653876
3609_Fe4Pd8,Fe4Pd8,Pnma,-0.0967366215483439,19.019550008653876
2592_Cu8Sn4,Cu8Sn4,I4_1/amd,0.0782940927330499,19.019550008653876
1218_Ba4Cu8,Ba4Cu8,Pnma,0.2957104055890719,19.019550008653876
4128_Mn8Sb4,Mn8Sb4,Pnma,0.1912105869806796,19.019550008653876
1623_Cr8Pb4,Cr8Pb4,Pnma,0.6935188602294282,19.019550008653876
3899_Cu4Pd8,Cu4Pd8,I4_1/amd,-0.0814270191338154,19.019550008653876
398_Nb2V4,Nb2V4,I4_1/amd,0.4809952880147084,19.019550008653876
4701_Fe8Ta4,Fe8Ta4,I4_1/amd,-0.0433940220525492,19.019550008653876
4392_Eu4I8,Eu4I8,P2_1/c,-1.877240265112853,19.019550008653876
4775_Mo4P8,Mo4P8,I4_1/amd,0.1065608358772536,19.019550008653876
1461_Pd2Ge4,Pd2Ge4,Imma,0.1011663982781095,19.019550008653876
4520_V8W4,V8W4,Pnma,0.0528966610899613,19.019550008653876
198_K8P4,K8P4,Pnma,-0.0861383471739086,19.019550008653876
196_Au8Mn4,Au8Mn4,Pnma,-0.0326742680376834,19.019550008653876
193_Eu8Ge4,Eu8Ge4,Pnma,-0.8865988076880225,19.019550008653876
4526_Fe8Ga4,Fe8Ga4,Pnma,-0.1229566562214709,19.019550008653876
4767_Sn4W8,Sn4W8,Pnma,0.5256381582876166,19.019550008653876
4759_Au4Ni8,Au4Ni8,Pnma,0.1137680593830878,19.019550008653876
1730_Cr4Sn8,Cr4Sn8,Fddd,-0.0265927506534436,19.019550008653876
1694_Ba4P8,Ba4P8,I4_1/amd,-0.6301452926437984,19.019550008653876
4575_Cu8P4,Cu8P4,I4_1/amd,0.0429996810381183,19.019550008653876
1943_Al4Ga8,Al4Ga8,Pnma,0.0662554584094277,19.019550008653876
4077_Mo4Rh8,Mo4Rh8,I4_1/amd,-0.1778144107156573,19.019550008653876
4881_Pd8V4,Pd8V4,Pnma,-0.2238081572333025,19.019550008653876
322_Nb4V8,Nb4V8,I4_1/amd,0.1597620642543861,19.019550008653876
4241_Au8Rh4,Au8Rh4,Pnma,0.1711982711978444,19.019550008653876
4139_Ag4Ba8,Ag4Ba8,Pnma,-0.1623410645895558,19.019550008653876
1579_Nb4V8,Nb4V8,I4_1/amd,0.1587140476625173,19.019550008653876
1577_Cr4Sn8,Cr4Sn8,Fddd,-0.0258652017659611,19.019550008653876
1487_Fe8W4,Fe8W4,Pnma,0.106739363251543,19.019550008653876
346_Ni4Rh8,Ni4Rh8,Pnma,0.0535778871675454,19.019550008653876
1605_Ge8P4,Ge8P4,Pnma,0.2090046404551131,19.019550008653876
4199_Sm4Sb8,Sm4Sb8,Cmce,-1.2011228798766862,19.019550008653876
4100_Pt4V8,Pt4V8,Pnma,-0.2722998168753759,19.019550008653876
