formula,reason
406_Ni32P12,insufficient 'structure'
407_MnPt3,insufficient 'structure'
408_Ca2Sr,insufficient 'structure'
409_Mn3Ni,insufficient 'structure'
410_CaW3,insufficient 'structure'
411_CaAs3,insufficient 'structure'
412_In2Rh,insufficient 'structure'
413_MnPt2,insufficient 'structure'
414_Au7Ba6,insufficient 'structure'
415_Ga2V3,insufficient 'structure'
416_Nb2Ge2,insufficient 'structure'
417_Ca2Ge2,insufficient 'structure'
418_Ir2V2,insufficient 'structure'
419_Au2Ba2,insufficient 'structure'
420_SnGe2,insufficient 'structure'
421_Cu2Sn2,insufficient 'structure'
422_Mn3Pt2,insufficient 'structure'
423_Fe2K,insufficient 'structure'
425_Sn3Ge2,insufficient 'structure'
426_Sn2Ge2,insufficient 'structure'
427_NbNi2,insufficient 'structure'
428_Nb2Ta,insufficient 'structure'
429_Fe2K,insufficient 'structure'
430_AgK3,insufficient 'structure'
431_AuGa2,insufficient 'structure'
432_Fe2Mn3,insufficient 'structure'
433_Mo2P2,insufficient 'structure'
434_Al3Ga2,insufficient 'structure'
435_Ca2Ge2,insufficient 'structure'
436_K2P2,insufficient 'structure'
437_Ir2Ni3,insufficient 'structure'
438_Cu2K3,insufficient 'structure'
439_Fe2As2,insufficient 'structure'
440_Cu3Rh,insufficient 'structure'
441_Ag2Pb,insufficient 'structure'
445_Sr2W2,insufficient 'structure'
446_Ag2K,insufficient 'structure'
447_WAs2,insufficient 'structure'
448_Ga2Sn2,insufficient 'structure'
449_Cr2Rh,insufficient 'structure'
450_Ir2Ni,insufficient 'structure'
452_AlMn2,insufficient 'structure'
453_MnPt2,insufficient 'structure'
454_Pd3Pt2,insufficient 'structure'
455_K2V2,insufficient 'structure'
456_CuNb3,insufficient 'structure'
457_InRh3,insufficient 'structure'
458_CrAs3,insufficient 'structure'
459_CuSn2,insufficient 'structure'
463_Pd2P2,insufficient 'structure'
464_Ga6Mn6,insufficient 'structure'
465_Ga2Br2,insufficient 'structure'
466_P3Br2,insufficient 'structure'
467_Ba7Pd6,insufficient 'structure'
468_AgPb,insufficient 'structure'
474_Ba2Pd3,insufficient 'structure'
475_Ga2Nb3,insufficient 'structure'
476_Cu3In,insufficient 'structure'
477_Au3Ga,insufficient 'structure'
485_Ca2W2,insufficient 'structure'
486_Ag2Pb2,insufficient 'structure'
493_PtRh2,insufficient 'structure'
494_AuP2,insufficient 'structure'
495_Ca2Fe,insufficient 'structure'
503_AgK2,insufficient 'structure'
504_AlNa2,insufficient 'structure'
511_Fe2Pd2,insufficient 'structure'
512_Ga2Sn3,insufficient 'structure'
513_Fe2P,insufficient 'structure'
540_Cr2Rh2,insufficient 'structure'
549_Ba7Pd6,insufficient 'structure'
558_Cu2In2,insufficient 'structure'
847_Ni2Ge,insufficient 'structure'
848_Fe2Pd2,insufficient 'structure'
849_Ir3Ge,insufficient 'structure'
850_Cu2Rh,insufficient 'structure'
851_PtRh3,insufficient 'structure'
852_BaP2,insufficient 'structure'
853_Au6Ba7,insufficient 'structure'
854_Ba2Sn,insufficient 'structure'
855_Rh2Sn2,insufficient 'structure'
856_Ir3Ge12,insufficient 'structure'
857_CaV2,insufficient 'structure'
858_Nb2Ni3,insufficient 'structure'
859_K2P,insufficient 'structure'
860_Au2Mn3,insufficient 'structure'
861_Ag2Cu,insufficient 'structure'
862_Ba2Sn,insufficient 'structure'
863_Pb2Ta,insufficient 'structure'
864_AuGa2,insufficient 'structure'
865_Mn2Pt,insufficient 'structure'
866_Mn2Ni2,insufficient 'structure'
867_Cu3Nb,insufficient 'structure'
868_Cu3K,insufficient 'structure'
869_FeMn2,insufficient 'structure'
870_BaCa2,insufficient 'structure'
871_W3As2,insufficient 'structure'
872_Fe2As2,insufficient 'structure'
