formula,space_group,structure,id,formation_energy
Ni4Ta6,R-3c,"[{'data': {'a': [-6.910143e-10, 0, 0], 'b': [3.455072e-10, -5.984361000000001e-10, 0], 'c': [-3.455072e-10, 1.994788e-10, 3.8393110000000003e-10], 'atoms': [{'x': -3.45507990183523e-10, 'y': -1.9947900244761103e-10, 'z': 7.9504002988613e-11, 'element': 'Ni'}, {'x': -6.9101497659279e-10, 'y': 7.349320005927056e-18, 'z': 1.1246100950784702e-10, 'element': 'Ni'}, {'x': -4.0564010241193595e-18, 'y': -3.989569981570961e-10, 'z': 2.71471008087482e-10, 'element': 'Ni'}, {'x': -3.4550799589121803e-10, 'y': -1.99478979769825e-10, 'z': 3.0442601432568504e-10, 'element': 'Ni'}, {'x': -1.9145199616975595e-10, 'y': -3.989570119487071e-10, 'z': 9.598300151934901e-11, 'element': 'Ta'}, {'x': -5.952883059087111e-10, 'y': -2.3315500026858307e-10, 'z': 9.598300151934901e-11, 'element': 'Ta'}, {'x': -2.4978099508394904e-10, 'y': 3.3676009160126e-11, 'z': 9.598300919797101e-11, 'element': 'Ta'}, {'x': -9.5726999517115e-11, 'y': -1.6580197857073206e-10, 'z': 2.8794801401580905e-10, 'element': 'Ta'}, {'x': -4.99561989418757e-10, 'y': 2.9119818998865556e-17, 'z': 2.8794801785512e-10, 'element': 'Ta'}, {'x': -4.4123277974519793e-10, 'y': -4.326330618065551e-10, 'z': 2.8794802553374203e-10, 'element': 'Ta'}]}, 'natoms': 10, 'element': {'Ni': 4, 'Ta': 6}}]",PN_MCKVEQNTJFRUHOURCR2HCEB35KDFRETL,"{'reference': {'Ni': 'https://nomad-lab.eu/prod/rae/gui/entry/id/6ITh58J5QcGWUDsmpR9t2A/DW3mGBiIv6M10SVC39rmNQ3rZWvj', 'Ta': 'https://nomad-lab.eu/prod/rae/gui/entry/id/mAAfBZKmTQWDVL1ZPRsrVQ/aiinBOOtWpDnw1fT1PNtrrjHAAiJ'}, 'value_per_atom': 0.10174024974414664, 'value': 1.0174024974414664}"
Mn4Sb2,I4_1/amd,"[{'data': {'a': [-1.87778212e-10, 1.87604249e-10, 6.60611446e-10], 'b': [1.87778212e-10, -1.87604249e-10, 6.60611446e-10], 'c': [1.87778212e-10, 1.87604249e-10, -6.60611446e-10], 'atoms': [{'x': 1.87778212e-10, 'y': 9.38021245e-11, 'z': 6.063713222514108e-10, 'element': 'Mn'}, {'x': 0, 'y': 9.38021245e-11, 'z': 5.424012374858926e-11, 'element': 'Mn'}, {'x': 1.87778212e-10, 'y': 9.380212450000001e-11, 'z': 3.8477678329788195e-10, 'element': 'Mn'}, {'x': 0, 'y': 9.380212450000001e-11, 'z': 2.7583466270211807e-10, 'element': 'Mn'}, {'x': 1.87778212e-10, 'y': 9.380212449999998e-11, 'z': -1.6511795479119336e-10, 'element': 'Sb'}, {'x': -6.462348535570529e-27, 'y': 9.38021245e-11, 'z': 8.257294007911934e-10, 'element': 'Sb'}]}, 'natoms': 6, 'element': {'Mn': 4, 'Sb': 2}}]",PN_FGGHB2NFWUCYD3YZO4FWN3QVOKCTVI6K,"{'reference': {'Mn': 'https://nomad-lab.eu/prod/rae/gui/entry/id/287sI9_oSguef6cQl5_HXg/8IffBWYWeF2VvGN-TtippJCbAlST', 'Sb': 'https://nomad-lab.eu/prod/rae/gui/entry/id/WMu7V8unTIq_ZADrznasag/e0MYdRBQr9wEXHzKsLol9DZ8gMvs'}, 'value_per_atom': 0.49598083178150887, 'value': 2.975884990689053}"
Ir2Na2,Imma,"[{'data': {'a': [-1.36776653e-10, 2.60817299e-10, 5.397959880000001e-10], 'b': [1.36776653e-10, -2.60817299e-10, 5.397959880000001e-10], 'c': [1.36776653e-10, 2.60817299e-10, -5.397959880000001e-10], 'atoms': [{'x': 6.83883265e-11, 'y': 0, 'z': 4.3566842426162056e-10, 'element': 'Ir'}, {'x': 6.83883265e-11, 'y': 2.60817299e-10, 'z': 1.0412756373837965e-10, 'element': 'Ir'}, {'x': -6.838832650000001e-11, 'y': 2.60817299e-10, 'z': 3.856476136661742e-10, 'element': 'Na'}, {'x': 2.0516497949999998e-10, 'y': 1.2924697071141057e-26, 'z': 1.541483743338259e-10, 'element': 'Na'}]}, 'natoms': 4, 'element': {'Na': 2, 'Ir': 2}}]",PN_BAO7ZSBZZCMA7PH7QMR7WLDI72GOELND,"{'reference': {'Na': 'https://nomad-lab.eu/prod/rae/gui/entry/id/ANn_TqXdRYm4bpJCvHC9sg/fZBjCAvL-C0KpykVeDkglk4DiMJE', 'Ir': 'https://nomad-lab.eu/prod/rae/gui/entry/id/R5T_c-b5R-aSPQN6iXJv2A/Jxd3Gq7w7vgx3vAf4QaOcIUrNIvf'}, 'value_per_atom': 0.47213003244004526, 'value': 1.888520129760181}"
MoSm,R-3m,"[{'data': {'a': [1.65820251e-10, 9.573634399999999e-11, 4.64215485e-10], 'b': [-1.65820251e-10, 9.573634399999999e-11, 4.64215485e-10], 'c': [0, -1.91472687e-10, 4.64215485e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Mo'}, {'x': -6.265465754025946e-28, 'y': -4.3538717870165237e-17, 'z': 6.963235431665299e-10, 'element': 'Sm'}]}, 'natoms': 2, 'element': {'Mo': 1, 'Sm': 1}}]",PN_4YR2JLVZHJLC3F2TYPTOVDBJJ52C6XIE,"{'reference': {'Mo': 'https://nomad-lab.eu/prod/rae/gui/entry/id/mAAfBZKmTQWDVL1ZPRsrVQ/HLs4rFRaajvgFbdkQqFeb0TzH9AI', 'Sm': 'https://nomad-lab.eu/prod/rae/gui/entry/id/0-sUPGbCT4WTrNYF4-xkZQ/_QRJJknIDoDicf-YE5iLlQPtC5ne'}, 'value_per_atom': 0.5114126186332761, 'value': 1.0228252372665523}"
Sn17P12,I-43m,"[{'data': {'a': [-5.563178910000001e-10, 5.563178910000001e-10, 5.563178910000001e-10], 'b': [5.563178910000001e-10, -5.563178910000001e-10, 5.563178910000001e-10], 'c': [5.563178910000001e-10, 5.563178910000001e-10, -5.563178910000001e-10], 'atoms': [{'x': 4.4069539522864776e-10, 'y': -2.813736506858592e-10, 'z': 4.406953952286478e-10, 'element': 'P'}, {'x': 1.1562249577135233e-10, 'y': 2.7494424031414086e-10, 'z': 1.1562249577135228e-10, 'element': 'P'}, {'x': -1.1562249577135233e-10, 'y': 8.376915416858592e-10, 'z': 1.1562249577135233e-10, 'element': 'P'}, {'x': 1.1562249577135235e-10, 'y': 8.376915416858592e-10, 'z': -1.1562249577135235e-10, 'element': 'P'}, {'x': -1.1562249577135233e-10, 'y': 1.1562249577135233e-10, 'z': 8.376915416858592e-10, 'element': 'P'}, {'x': 1.1562249577135235e-10, 'y': -1.1562249577135235e-10, 'z': 8.376915416858592e-10, 'element': 'P'}, {'x': 1.1562249577135232e-10, 'y': 1.156224957713523e-10, 'z': 2.7494424031414086e-10, 'element': 'P'}, {'x': 4.4069539522864776e-10, 'y': 4.4069539522864776e-10, 'z': -2.813736506858592e-10, 'element': 'P'}, {'x': 8.376915416858592e-10, 'y': 1.1562249577135235e-10, 'z': -1.1562249577135235e-10, 'element': 'P'}, {'x': 8.376915416858592e-10, 'y': -1.1562249577135233e-10, 'z': 1.1562249577135233e-10, 'element': 'P'}, {'x': -2.813736506858592e-10, 'y': 4.4069539522864776e-10, 'z': 4.406953952286478e-10, 'element': 'P'}, {'x': 2.7494424031414086e-10, 'y': 1.1562249577135232e-10, 'z': 1.1562249577135233e-10, 'element': 'P'}, {'x': 1.5811643732650581e-10, 'y': 6.110018479300299e-10, 'z': 1.5811643732650581e-10, 'element': 'Sn'}, {'x': 3.9820145367349424e-10, 'y': 5.468396805638769e-11, 'z': 3.982014536734943e-10, 'element': 'Sn'}, {'x': 1.5811643176332685e-10, 'y': 5.016339285067912e-10, 'z': -1.5811643176332685e-10, 'element': 'Sn'}, {'x': -1.5811643176332683e-10, 'y': 5.016339285067912e-10, 'z': 1.5811643176332683e-10, 'element': 'Sn'}, {'x': 1.5811643176332685e-10, 'y': -1.5811643176332685e-10, 'z': 5.016339285067912e-10, 'element': 'Sn'}, {'x': -1.5811643176332683e-10, 'y': 1.5811643176332683e-10, 'z': 5.016339285067912e-10, 'element': 'Sn'}, {'x': 3.9820145367349424e-10, 'y': 3.9820145367349424e-10, 'z': 5.468396805638768e-11, 'element': 'Sn'}, {'x': 1.5811643732650581e-10, 'y': 1.5811643732650581e-10, 'z': 6.1100184793003e-10, 'element': 'Sn'}, {'x': 5.016339285067912e-10, 'y': -1.5811643176332683e-10, 'z': 1.5811643176332683e-10, 'element': 'Sn'}, {'x': 5.016339285067912e-10, 'y': 1.5811643176332685e-10, 'z': -1.5811643176332685e-10, 'element': 'Sn'}, {'x': 6.110018479300299e-10, 'y': 1.5811643732650581e-10, 'z': 1.5811643732650581e-10, 'element': 'Sn'}, {'x': 5.468396805638769e-11, 'y': 3.9820145367349424e-10, 'z': 3.982014536734942e-10, 'element': 'Sn'}, {'x': 1.9037400173414434e-10, 'y': -1.9037400173414434e-10, 'z': 1.9037400173414434e-10, 'element': 'Sn'}, {'x': 3.659438892658557e-10, 'y': 3.6594388926585574e-10, 'z': 3.6594388926585574e-10, 'element': 'Sn'}, {'x': 1.9037400173414434e-10, 'y': 1.9037400173414434e-10, 'z': -1.9037400173414434e-10, 'element': 'Sn'}, {'x': -1.9037400173414434e-10, 'y': 1.9037400173414434e-10, 'z': 1.9037400173414434e-10, 'element': 'Sn'}, {'x': 0, 'y': 0, 'z': 0, 'element': 'Sn'}]}, 'natoms': 29, 'element': {'P': 12, 'Sn': 17}}]",PN_H6P36AVAKDU244QNQGGCJ7YLC4A4F2YE,"{'reference': {'P': 'https://nomad-lab.eu/prod/rae/gui/entry/id/SwEGZUqCTPyNJvGH3CWDPQ/VliAGY_Z2yfFnSNW4d80E-Y7rLrP', 'Sn': 'https://nomad-lab.eu/prod/rae/gui/entry/id/7v_xfwA8SXar--QHXNyP3w/OAw0poj5HN3ZrB-djDMlDbA7-aNL'}, 'value_per_atom': 0.2150613449970501, 'value': 6.236779004914453}"
Sr6Br4,R-3c,"[{'data': {'a': [-7.710824190000001e-10, 0, 0], 'b': [3.85541259e-10, -6.67777124e-10, 0], 'c': [-3.85541259e-10, 2.2259237500000004e-10, 7.459649180000001e-10], 'atoms': [{'x': 5.701878160006181e-18, 'y': -4.4518496969665035e-10, 'z': 7.0132786923671604e-12, 'element': 'Br'}, {'x': 1.3886308014777378e-18, 'y': -4.4518498511771776e-10, 'z': 3.659689938164034e-10, 'element': 'Br'}, {'x': -7.710828676164427e-10, 'y': -1.3185741560445323e-17, 'z': 3.7999654333447866e-10, 'element': 'Br'}, {'x': -7.710821895217529e-10, 'y': 3.876409314323311e-16, 'z': 7.38951639307633e-10, 'element': 'Br'}, {'x': -2.668174473476147e-10, 'y': -4.45184976294222e-10, 'z': 1.8649163232105574e-10, 'element': 'Sr'}, {'x': -2.521327123974681e-10, 'y': -8.478323101268894e-12, 'z': 1.8649163232105574e-10, 'element': 'Sr'}, {'x': -6.376736444864107e-10, 'y': -2.1411367744354135e-10, 'z': 1.8649163232105574e-10, 'element': 'Sr'}, {'x': -1.334092217414013e-10, 'y': -2.3107132085991801e-10, 'z': 5.594739048298263e-10, 'element': 'Sr'}, {'x': -5.189501538303439e-10, 'y': -4.367066752021904e-10, 'z': 5.594739048298263e-10, 'element': 'Sr'}, {'x': -5.042644241838769e-10, 'y': -2.200923734463271e-17, 'z': 5.594739048298263e-10, 'element': 'Sr'}]}, 'natoms': 10, 'element': {'Br': 4, 'Sr': 6}}]",PN_ZYAHBKLTYXJOLYLD5YFTVBNOSDYIGR6J,"{'reference': {'Br': 'https://nomad-lab.eu/prod/rae/gui/entry/id/0-sUPGbCT4WTrNYF4-xkZQ/Wx_P4OGpuK3MVetL1U6qELSTUSzI', 'Sr': 'https://nomad-lab.eu/prod/rae/gui/entry/id/0-sUPGbCT4WTrNYF4-xkZQ/4Bi2SFZznBU08VPsCfdn5zucFJds'}, 'value_per_atom': -1.1913767863029878, 'value': -11.913767863029879}"
Ge4P12,Pnma,"[{'data': {'a': [6.95356212e-10, 0, 0], 'b': [0, 6.113975690000001e-10, 0], 'c': [0, 0, 6.328578300000001e-10], 'atoms': [{'x': 4.3275510542369093e-10, 'y': 5.653364902411222e-10, 'z': 4.746433725e-10, 'element': 'Ge'}, {'x': 8.507699942369088e-11, 'y': 3.5175986325887787e-10, 'z': 1.5821445750000002e-10, 'element': 'Ge'}, {'x': 6.102792125763091e-10, 'y': 2.596377057411222e-10, 'z': 4.746433725e-10, 'element': 'Ge'}, {'x': 2.6260110657630915e-10, 'y': 4.606107875887785e-11, 'z': 1.5821445750000002e-10, 'element': 'Ge'}, {'x': 7.341401914736485e-11, 'y': -4.8597492143752796e-11, 'z': 4.746433725e-10, 'element': 'P'}, {'x': 4.2109212514736486e-10, 'y': 3.5429627664375285e-10, 'z': 1.5821445750000002e-10, 'element': 'P'}, {'x': 2.7426408685263517e-10, 'y': 2.571012923562472e-10, 'z': 4.746433725e-10, 'element': 'P'}, {'x': 6.219421928526352e-10, 'y': 4.8597492143752796e-11, 'z': 1.5821445750000002e-10, 'element': 'P'}, {'x': 4.239905575851581e-10, 'y': 1.6716218488438728e-10, 'z': -4.5580699204788e-12, 'element': 'P'}, {'x': 7.631245158515808e-11, 'y': 1.3853659961561276e-10, 'z': 4.5580699204788e-12, 'element': 'P'}, {'x': 6.19043760414842e-10, 'y': 4.728609693843873e-10, 'z': 3.209869849204788e-10, 'element': 'P'}, {'x': 2.7136565441484193e-10, 'y': 4.4423538411561284e-10, 'z': 3.1187084507952124e-10, 'element': 'P'}, {'x': 2.7136565441484193e-10, 'y': 4.4423538411561284e-10, 'z': 4.5580699204788e-12, 'element': 'P'}, {'x': 6.19043760414842e-10, 'y': 4.728609693843873e-10, 'z': -4.5580699204788e-12, 'element': 'P'}, {'x': 7.631245158515808e-11, 'y': 1.3853659961561276e-10, 'z': 3.1187084507952124e-10, 'element': 'P'}, {'x': 4.239905575851581e-10, 'y': 1.6716218488438728e-10, 'z': 3.209869849204788e-10, 'element': 'P'}]}, 'natoms': 16, 'element': {'P': 12, 'Ge': 4}}]",PN_LPSIHXMY4PO3JLA6HT25TBUO3GTG6WUV,"{'reference': {'P': 'https://nomad-lab.eu/prod/rae/gui/entry/id/SwEGZUqCTPyNJvGH3CWDPQ/VliAGY_Z2yfFnSNW4d80E-Y7rLrP', 'Ge': 'https://nomad-lab.eu/prod/rae/gui/entry/id/ANn_TqXdRYm4bpJCvHC9sg/2eVSxv5n6du3VVsS6uZHLFviKxDn'}, 'value_per_atom': 0.20868503656866455, 'value': 3.338960585098633}"
Mn8Sb,I4/mmm,"[{'data': {'a': [-3.83772408e-10, 3.83772408e-10, 1.8060266400000001e-10], 'b': [3.83772408e-10, -3.83772408e-10, 1.8060266400000001e-10], 'c': [3.83772408e-10, 3.83772408e-10, -1.8060266400000001e-10], 'atoms': [{'x': 1.4192391806342977e-10, 'y': -1.4192391806342977e-10, 'z': 1.8060266400000001e-10, 'element': 'Mn'}, {'x': -1.419239180634298e-10, 'y': 1.419239180634298e-10, 'z': 1.8060266400000001e-10, 'element': 'Mn'}, {'x': 2.682370721585064e-10, 'y': 6.430917969536315e-27, 'z': 3.9709596635894885e-27, 'element': 'Mn'}, {'x': 1.4192392190115382e-10, 'y': 1.4192392190115384e-10, 'z': 1.806026621939734e-10, 'element': 'Mn'}, {'x': 6.430917969536315e-27, 'y': 2.682370721585064e-10, 'z': 3.9709596635894885e-27, 'element': 'Mn'}, {'x': 2.4184848609884613e-10, 'y': 2.4184848609884613e-10, 'z': 1.8060266527581407e-18, 'element': 'Mn'}, {'x': 4.993077438414935e-10, 'y': 2.3964222136155933e-26, 'z': -6.870194940658501e-27, 'element': 'Mn'}, {'x': 2.3964222136155933e-26, 'y': 4.993077438414935e-10, 'z': -6.870194940658501e-27, 'element': 'Mn'}, {'x': 0, 'y': 0, 'z': 0, 'element': 'Sb'}]}, 'natoms': 9, 'element': {'Mn': 8, 'Sb': 1}}]",PN_UHJQ2SH2GXQ7QNGQO5WBAFRBBVHRU2KX,"{'reference': {'Mn': 'https://nomad-lab.eu/prod/rae/gui/entry/id/287sI9_oSguef6cQl5_HXg/8IffBWYWeF2VvGN-TtippJCbAlST', 'Sb': 'https://nomad-lab.eu/prod/rae/gui/entry/id/WMu7V8unTIq_ZADrznasag/e0MYdRBQr9wEXHzKsLol9DZ8gMvs'}, 'value_per_atom': 0.10883672676979472, 'value': 0.9795305409281525}"
Ba2Bi3,Immm,"[{'data': {'a': [-4.83130248e-10, 0, 0], 'b': [2.41565124e-10, 3.97235201e-10, 5.09432233e-10], 'c': [2.41565124e-10, 3.97235201e-10, -5.09432233e-10], 'atoms': [{'x': -1.8508709913167975e-26, 'y': 3.9723520099999993e-10, 'z': 2.2803784328562686e-10, 'element': 'Ba'}, {'x': -2.0750242359675688e-26, 'y': 3.9723520099999993e-10, 'z': -2.2803784328562688e-10, 'element': 'Ba'}, {'x': 0, 'y': 0, 'z': 0, 'element': 'Bi'}, {'x': -2.41565124e-10, 'y': 2.350220218780445e-10, 'z': -7.378018084778663e-27, 'element': 'Bi'}, {'x': 2.4156512400000003e-10, 'y': 5.594483801219555e-10, 'z': 4.948242498920403e-27, 'element': 'Bi'}]}, 'natoms': 5, 'element': {'Bi': 3, 'Ba': 2}}]",PN_AVCLYOZGXY4UAYGMVTDALSWZ6ADSTRLS,"{'reference': {'Bi': 'https://nomad-lab.eu/prod/rae/gui/entry/id/_6Tx47cFRK62jBx4fsvfrw/j4YzvDGcNGpWqp9v6XPFHS3dF2zw', 'Ba': 'https://nomad-lab.eu/prod/rae/gui/entry/id/QX3_VJ6GQxeXsViuxMFMmA/ZEa7Cb-Ix_YgZjs2fYpTwwHk-qXZ'}, 'value_per_atom': -0.8094130623309983, 'value': -4.0470653116549915}"
Mo3W3,C2/m,"[{'data': {'a': [-3.17561374e-10, 0, 0], 'b': [1.58780687e-10, 2.2887914399999999e-10, -4.47689241e-10], 'c': [0, -4.4491664e-10, -4.5306876999999997e-10], 'atoms': [{'x': -1.5878068703645143e-18, 'y': 3.763481949985752e-11, 'z': 6.676114229480695e-13, 'element': 'Mo'}, {'x': -1.58780687939705e-18, 'y': -1.811015189740259e-10, 'z': -6.76074427849741e-10, 'element': 'Mo'}, {'x': -1.5878068541219314e-10, 'y': -1.8268544261251805e-10, 'z': -4.5103985952340813e-10, 'element': 'Mo'}, {'x': -4.329300671642959e-28, 'y': -1.8506519343660562e-10, 'z': -2.265559826375278e-10, 'element': 'W'}, {'x': 1.58780688239438e-18, 'y': 4.137680336123127e-11, 'z': -4.494025693191478e-10, 'element': 'W'}, {'x': -1.587806885878069e-10, 'y': 3.990580813357496e-11, 'z': -2.238520073084094e-10, 'element': 'W'}]}, 'natoms': 6, 'element': {'Mo': 3, 'W': 3}}]",PN_R6Z4HO26474O43IIUBSFSOA2NTVFQPIJ,"{'reference': {'Mo': 'https://nomad-lab.eu/prod/rae/gui/entry/id/miRFVZUUSvmc1uMMJkU4LA/TwiQxc0usHCKW3MtmHjbnh8mT5GC', 'W': 'https://nomad-lab.eu/prod/rae/gui/entry/id/JriGWVUJSX2Vkeya5zzAPw/dcAjiz1dsca03eeBAM-fTgQjR8M_'}, 'value_per_atom': -0.0006663757429568781, 'value': -0.003998254457741268}"
