num,formula,reason
406,Ni32P12,insufficient structure data
407,MnPt3,insufficient structure data
408,Ca2Sr,insufficient structure data
409,Mn3Ni,insufficient structure data
410,CaW3,insufficient structure data
411,CaAs3,insufficient structure data
412,In2Rh,insufficient structure data
413,MnPt2,insufficient structure data
414,Au7Ba6,insufficient structure data
415,Ga2V3,insufficient structure data
416,Nb2Ge2,insufficient structure data
417,Ca2Ge2,insufficient structure data
418,Ir2V2,insufficient structure data
419,Au2Ba2,insufficient structure data
420,SnGe2,insufficient structure data
421,Cu2Sn2,insufficient structure data
422,Mn3Pt2,insufficient structure data
423,Fe2K,insufficient structure data
425,Sn3Ge2,insufficient structure data
426,Sn2Ge2,insufficient structure data
427,NbNi2,insufficient structure data
428,Nb2Ta,insufficient structure data
429,Fe2K,insufficient structure data
430,AgK3,insufficient structure data
431,AuGa2,insufficient structure data
432,Fe2Mn3,insufficient structure data
433,Mo2P2,insufficient structure data
434,Al3Ga2,insufficient structure data
435,Ca2Ge2,insufficient structure data
436,K2P2,insufficient structure data
437,Ir2Ni3,insufficient structure data
438,Cu2K3,insufficient structure data
439,Fe2As2,insufficient structure data
440,Cu3Rh,insufficient structure data
441,Ag2Pb,insufficient structure data
445,Sr2W2,insufficient structure data
446,Ag2K,insufficient structure data
447,WAs2,insufficient structure data
448,Ga2Sn2,insufficient structure data
449,Cr2Rh,insufficient structure data
450,Ir2Ni,insufficient structure data
452,AlMn2,insufficient structure data
453,MnPt2,insufficient structure data
454,Pd3Pt2,insufficient structure data
455,K2V2,insufficient structure data
456,CuNb3,insufficient structure data
457,InRh3,insufficient structure data
458,CrAs3,insufficient structure data
459,CuSn2,insufficient structure data
463,Pd2P2,insufficient structure data
464,Ga6Mn6,insufficient structure data
465,Ga2Br2,insufficient structure data
466,P3Br2,insufficient structure data
467,Ba7Pd6,insufficient structure data
468,AgPb,insufficient structure data
474,Ba2Pd3,insufficient structure data
475,Ga2Nb3,insufficient structure data
476,Cu3In,insufficient structure data
477,Au3Ga,insufficient structure data
485,Ca2W2,insufficient structure data
486,Ag2Pb2,insufficient structure data
493,PtRh2,insufficient structure data
494,AuP2,insufficient structure data
495,Ca2Fe,insufficient structure data
503,AgK2,insufficient structure data
504,AlNa2,insufficient structure data
511,Fe2Pd2,insufficient structure data
512,Ga2Sn3,insufficient structure data
513,Fe2P,insufficient structure data
540,Cr2Rh2,insufficient structure data
549,Ba7Pd6,insufficient structure data
558,Cu2In2,insufficient structure data
847,Ni2Ge,insufficient structure data
848,Fe2Pd2,insufficient structure data
849,Ir3Ge,insufficient structure data
850,Cu2Rh,insufficient structure data
851,PtRh3,insufficient structure data
852,BaP2,insufficient structure data
853,Au6Ba7,insufficient structure data
854,Ba2Sn,insufficient structure data
855,Rh2Sn2,insufficient structure data
856,Ir3Ge12,insufficient structure data
857,CaV2,insufficient structure data
858,Nb2Ni3,insufficient structure data
859,K2P,insufficient structure data
860,Au2Mn3,insufficient structure data
861,Ag2Cu,insufficient structure data
862,Ba2Sn,insufficient structure data
