cif_name,formula,space_group,value per atom,value,id
0001_Ni4Ta6.cif,Ni4Ta6,R-3c,0.1017402497441466,1.0174024974414664,PN_MCKVEQNTJFRUHOURCR2HCEB35KDFRETL
0002_Mn4Sb2.cif,Mn4Sb2,I4_1/amd,0.4959808317815088,2.975884990689053,PN_FGGHB2NFWUCYD3YZO4FWN3QVOKCTVI6K
0003_Ir2Na2.cif,Ir2Na2,Imma,0.4721300324400452,1.888520129760181,PN_BAO7ZSBZZCMA7PH7QMR7WLDI72GOELND
0004_MoSm.cif,MoSm,R-3m,0.5114126186332761,1.0228252372665525,PN_4YR2JLVZHJLC3F2TYPTOVDBJJ52C6XIE
0005_Sn17P12.cif,Sn17P12,I-43m,0.2150613449970501,6.236779004914453,PN_H6P36AVAKDU244QNQGGCJ7YLC4A4F2YE
0006_Sr6Br4.cif,Sr6Br4,R-3c,-1.1913767863029878,-11.91376786302988,PN_ZYAHBKLTYXJOLYLD5YFTVBNOSDYIGR6J
0007_Ge4P12.cif,Ge4P12,Pnma,0.2086850365686645,3.338960585098633,PN_LPSIHXMY4PO3JLA6HT25TBUO3GTG6WUV
0008_Mn8Sb.cif,Mn8Sb,I4/mmm,0.1088367267697947,0.9795305409281524,PN_UHJQ2SH2GXQ7QNGQO5WBAFRBBVHRU2KX
0009_Ba2Bi3.cif,Ba2Bi3,Immm,-0.8094130623309983,-4.047065311654992,PN_AVCLYOZGXY4UAYGMVTDALSWZ6ADSTRLS
0010_Mo3W3.cif,Mo3W3,C2/m,-0.0006663757429568,-0.0039982544577412,PN_R6Z4HO26474O43IIUBSFSOA2NTVFQPIJ
0011_InSn5.cif,InSn5,Cm,0.0003555562973946,0.0021333377843681,PN_7OK3KACOB6F3RRLJTWVVBYDZFINCNOIS
0012_Ga2Sr.cif,Ga2Sr,P6/mmm,-0.533854310311091,-1.601562930933273,PN_ZDKNO2QVSUX4H46TI7XIY2SR75JR6I4L
0013_Pd2Ta2.cif,Pd2Ta2,P4/nmm,-0.3572595305178883,-1.4290381220715531,PN_2THSMK54QTI4S5CDHJ5HHAJ2UZJXQI7E
