formula,space_group,count,median,median_cif_name,other_cif_names
VBr3,P4/mmm,6,-0.13323208353772095,3538_VBr3.cif,0111_VBr3.cif;1383_VBr3.cif;2066_VBr3.cif;2389_VBr3.cif;3880_VBr3.cif
AgSn,P4/mmm,5,0.0409468929222187,0312_AgSn.cif,0184_AgSn.cif;2549_AgSn.cif;3811_AgSn.cif;4146_AgSn.cif
Cr3W,P4/mmm,5,0.070083144452175,1033_Cr3W.cif,0104_Cr3W.cif;1009_Cr3W.cif;2325_Cr3W.cif;2371_Cr3W.cif
Cu7Pt5,P1,5,-0.1193349788810517,0703_Cu7Pt5.cif,0229_Cu7Pt5.cif;1047_Cu7Pt5.cif;2365_Cu7Pt5.cif;2518_Cu7Pt5.cif
K2As2,P4/nmm,5,-0.160004924188351,0258_K2As2.cif,0619_K2As2.cif;0764_K2As2.cif;1707_K2As2.cif;1961_K2As2.cif
Na2Pt2,P4/nmm,5,0.0208329909888398,1660_Na2Pt2.cif,0305_Na2Pt2.cif;1743_Na2Pt2.cif;2125_Na2Pt2.cif;3717_Na2Pt2.cif
NbV2,I4/mmm,5,0.0426626753663737,2552_NbV2.cif,2162_NbV2.cif;2501_NbV2.cif;3916_NbV2.cif;4365_NbV2.cif
SnP,Fm-3m,5,-0.0947907314231715,2088_SnP.cif,1836_SnP.cif;1837_SnP.cif;2079_SnP.cif;2324_SnP.cif
Ag2Sn,I4/mmm,4,-0.0050425799259743,0800_Ag2Sn.cif,0982_Ag2Sn.cif;1575_Ag2Sn.cif;3793_Ag2Sn.cif
AgAl2,I4/mmm,4,0.0274018776236054,2035_AgAl2.cif,0451_AgAl2.cif;0625_AgAl2.cif;2295_AgAl2.cif
Ba2Cu,I4/mmm,4,0.02605832778841495,2569_Ba2Cu.cif,0333_Ba2Cu.cif;2330_Ba2Cu.cif;2604_Ba2Cu.cif
Cr2As2,P4/nmm,4,0.007737778566663651,1871_Cr2As2.cif,2503_Cr2As2.cif;2615_Cr2As2.cif;2621_Cr2As2.cif
Cr3Sr,P4/mmm,4,0.7399991337618181,0045_Cr3Sr.cif,0354_Cr3Sr.cif;0964_Cr3Sr.cif;2201_Cr3Sr.cif
CrNb,Pm-3m,4,0.0423850972852033,1724_CrNb.cif,0634_CrNb.cif;0710_CrNb.cif;0728_CrNb.cif
Cu6Pt5,P1,4,-0.116070029672613,1558_Cu6Pt5.cif,1168_Cu6Pt5.cif;1585_Cu6Pt5.cif;2466_Cu6Pt5.cif
CuGe,P4/mmm,4,0.1805108307024028,1066_CuGe.cif,0520_CuGe.cif;1468_CuGe.cif;1470_CuGe.cif
Fe2Ga2,P4/nmm,4,-0.02786550221210365,1830_Fe2Ga2.cif,0594_Fe2Ga2.cif;0681_Fe2Ga2.cif;2065_Fe2Ga2.cif
Fe2Pb2,P4/nmm,4,0.2939569668499624,1446_Fe2Pb2.cif,1071_Fe2Pb2.cif;1086_Fe2Pb2.cif;1978_Fe2Pb2.cif
Fe3Pb,Pm-3m,4,0.6190135183935941,0846_Fe3Pb.cif,0282_Fe3Pb.cif;1710_Fe3Pb.cif;1746_Fe3Pb.cif
FePb,Pm-3m,4,0.8410609171454313,1620_FePb.cif,1234_FePb.cif;2039_FePb.cif;2643_FePb.cif
InBr3,Immm,4,-0.5558669594952474,0581_InBr3.cif,1631_InBr3.cif;1669_InBr3.cif;2637_InBr3.cif
K2P2,Cmcm,4,-0.4150835208028323,1151_K2P2.cif,0332_K2P2.cif;1146_K2P2.cif;3895_K2P2.cif
Mo2W,I4/mmm,4,-0.0034834506357294,2438_Mo2W.cif,1045_Mo2W.cif;3224_Mo2W.cif;3461_Mo2W.cif
NbP2,I4/mmm,4,-0.6496911490677721,0253_NbP2.cif,1565_NbP2.cif;2424_NbP2.cif;2479_NbP2.cif
PAs,Pm-3m,4,0.5547144238497519,0827_PAs.cif,0320_PAs.cif;0837_PAs.cif;0985_PAs.cif
Pd2Rh2,P4/nmm,4,0.041182790225248345,2052_Pd2Rh2.cif,0179_Pd2Rh2.cif;0228_Pd2Rh2.cif;0618_Pd2Rh2.cif
Pd2Ta2,P4/nmm,4,-0.32774286406877096,0013_Pd2Ta2.cif,0153_Pd2Ta2.cif;1218_Pd2Ta2.cif;2043_Pd2Ta2.cif
Sn2W2,P4/nmm,4,0.5413473575466052,2134_Sn2W2.cif,2147_Sn2W2.cif;2425_Sn2W2.cif;2833_Sn2W2.cif
VBr2,I4/mmm,4,-0.40987138754169783,1399_VBr2.cif,1472_VBr2.cif;1906_VBr2.cif;2315_VBr2.cif
VW2,I4/mmm,4,-0.09455576502669175,1687_VW2.cif,0330_VW2.cif;1240_VW2.cif;2142_VW2.cif
WSb,Pm-3m,4,0.6380128339161382,0245_WSb.cif,1099_WSb.cif;2118_WSb.cif;2461_WSb.cif
Ag2Br2,P2_1/m,3,-0.4385558393715043,0050_Ag2Br2.cif,1289_Ag2Br2.cif;1579_Ag2Br2.cif
Ag2Ge2,Pmmn,3,0.1739586116285205,0339_Ag2Ge2.cif,0295_Ag2Ge2.cif;1698_Ag2Ge2.cif
Ag2Mn2,P4/nmm,3,0.2806231820436764,2504_Ag2Mn2.cif,2208_Ag2Mn2.cif;2560_Ag2Mn2.cif
Ag4Al,I4/m,3,-0.0484028888270259,1225_Ag4Al.cif,0518_Ag4Al.cif;2599_Ag4Al.cif
Ag4Al3,I4/mmm,3,-0.0356463121095568,1747_Ag4Al3.cif,0560_Ag4Al3.cif;1117_Ag4Al3.cif
Ag5Al3,Amm2,3,-0.0629852474614018,1194_Ag5Al3.cif,1197_Ag5Al3.cif;2418_Ag5Al3.cif
AgSn2,I4/mmm,3,-0.0007098658300653,4494_AgSn2.cif,0731_AgSn2.cif;2515_AgSn2.cif
Al2Cu,Immm,3,-0.0700894357803155,1723_Al2Cu.cif,1308_Al2Cu.cif;2645_Al2Cu.cif
Al2K2,Cmcm,3,0.2122518133412239,0701_Al2K2.cif,1864_Al2K2.cif;2596_Al2K2.cif
Al2Rh,I4/mmm,3,-0.7879958682286438,0039_Al2Rh.cif,1085_Al2Rh.cif;1878_Al2Rh.cif
AlPd2,I4/mmm,3,-0.7917135539533374,0224_AlPd2.cif,1118_AlPd2.cif;1140_AlPd2.cif
AlRh2,I4/mmm,3,-0.637019060757113,0244_AlRh2.cif,1959_AlRh2.cif;2486_AlRh2.cif
AlSb2,I4/mmm,3,0.1446425292884262,3440_AlSb2.cif,4500_AlSb2.cif;4955_AlSb2.cif
AlTa2,I4/mmm,3,-0.1247615256722092,1552_AlTa2.cif,0169_AlTa2.cif;1617_AlTa2.cif
