formula,n_distinct_space_groups,distinct_space_groups
Ag4Al4,6,"['Cccm', 'I4/mmm', 'P1', 'P4/mmm', 'P4/nmm', 'Pmm2']"
Fe2Pb2,5,"['Cmcm', 'Fd-3m', 'Imma', 'P4/nmm', 'Pmmn']"
FePb3,5,"['Cmmm', 'Fm-3m', 'P4/mmm', 'Pm-3m', 'Pmm2']"
PtV3,5,"['Cmmm', 'I4/mmm', 'Immm', 'P4/mmm', 'Pm-3m']"
Ag4Al2,4,"['Cmcm', 'I4/mcm', 'I4_1/amd', 'Pnnm']"
Al2Cu,4,"['Fm-3m', 'Fmmm', 'Immm', 'P4/mmm']"
Al2Pt2,4,"['Imma', 'P4/nmm', 'Pmma', 'Pmmn']"
Au2Nb2,4,"['Cmcm', 'Cmme', 'Pmma', 'Pmmn']"
CrNb3,4,"['Cmmm', 'I4/mmm', 'Immm', 'Pm-3m']"
Cu2Ga2,4,"['Cmcm', 'I4_1/amd', 'P4/nmm', 'Pmma']"
Fe3Na,4,"['Fm-3m', 'P4/mmm', 'Pm-3m', 'Pmmm']"
FePt3,4,"['Cmmm', 'I4/mmm', 'P4/mmm', 'Pmmm']"
InV,4,"['Fm-3m', 'P4/mmm', 'Pm-3m', 'R-3m']"
KP3,4,"['Cmmm', 'Imm2', 'Immm', 'Pmmm']"
Mo2W2,4,"['Cmcm', 'Fd-3m', 'I4_1/amd', 'P4/nmm']"
Mo2W4,4,"['C2/m', 'Cmcm', 'I4/mcm', 'I4_1/amd']"
Mo3W,4,"['Cmmm', 'P2/m', 'P4/mmm', 'Pmm2']"
Na2P2,4,"['Cmcm', 'Fd-3m', 'Imma', 'P4/nmm']"
Na2Pt2,4,"['Cmcm', 'Fd-3m', 'P4/nmm', 'Pmmn']"
Ni4Rh2,4,"['C2/m', 'Cmcm', 'Cmmm', 'Pmmm']"
P3Br,4,"['Cmmm', 'Im-3m', 'Pm-3m', 'Pmmm']"
PbAs3,4,"['Cmmm', 'Fm-3m', 'Immm', 'P4/mmm']"
Pt2Sb2,4,"['Cmcm', 'Imma', 'P6_3/mmc', 'Pmmn']"
Pt3V,4,"['I4/mmm', 'P4/mmm', 'Pm-3m', 'Pmmm']"
Rh3Sb,4,"['Imm2', 'Immm', 'P4/mmm', 'Pmmm']"
Sb3Ge,4,"['Cmmm', 'Immm', 'P4/mmm', 'Pmmm']"
SnW3,4,"['Cmmm', 'I4/mmm', 'Immm', 'P4/mmm']"
Ag2Al4,3,"['Fd-3m', 'I4/mcm', 'I4_1/amd']"
Ag2Ge2,3,"['Cmcm', 'Cmme', 'Pmmn']"
Ag2Nb4,3,"['C2/m', 'Cmcm', 'Pnnm']"
Ag3Br,3,"['Imm2', 'Immm', 'P4/mmm']"
Ag6Al2,3,"['Cmmm', 'P4/nmm', 'Pmmn']"
AgAl2,3,"['I4/mmm', 'Immm', 'P4/mmm']"
AgP3,3,"['Cmmm', 'Fm-3m', 'Pm-3m']"
Al2Br2,3,"['Fd-3m', 'P4/nmm', 'Pmmn']"
Al2Cu2,3,"['I4_1/amd', 'P4/nmm', 'Pmma']"
Al2Fe4,3,"['Cmcm', 'Fd-3m', 'I4/mcm']"
Al2K2,3,"['Cmcm', 'P4/nmm', 'Pmmn']"
Al2K4,3,"['Cmcm', 'I4/mcm', 'Pnnm']"
Al2Sb,3,"['Fm-3m', 'I4/mmm', 'P4/mmm']"
Al3Br,3,"['Fm-3m', 'I4/mmm', 'Imm2']"
Al3In,3,"['Cmmm', 'Fm-3m', 'Pmm2']"
Al3Pt,3,"['Cmmm', 'Imm2', 'P4/mmm']"
Al3Sb,3,"['Cmmm', 'Immm', 'P4/mmm']"
Al3Sn,3,"['Fm-3m', 'Imm2', 'Immm']"
AlAs,3,"['Fm-3m', 'P4/mmm', 'Pm-3m']"
AlMn,3,"['Fm-3m', 'P-6m2', 'Pm-3m']"
AlPd,3,"['P-6m2', 'P4/mmm', 'Pm-3m']"
AlSb,3,"['Cmmm', 'F-43m', 'Pm-3m']"
AlSr3,3,"['I4/mmm', 'Immm', 'Pm-3m']"
As3Br,3,"['Fm-3m', 'P4/mmm', 'P4mm']"
As4Br2,3,"['Cmcm', 'I4/mcm', 'I4_1/amd']"
Au2Mn2,3,"['Cmcm', 'P4/nmm', 'Pmma']"
Au3As,3,"['Imm2', 'Immm', 'Pmm2']"
Au3P,3,"['Cmmm', 'Immm', 'Pmm2']"
Au4Nb2,3,"['C2/m', 'Cm', 'Cmcm']"
AuBr3,3,"['Fm-3m', 'P4/mmm', 'Pm-3m']"
AuNb3,3,"['Imm2', 'Immm', 'Pmm2']"
AuNi,3,"['F-43m', 'Fm-3m', 'P-6m2']"
AuP3,3,"['Cmmm', 'Imm2', 'Pmm2']"
AuSb3,3,"['Fm-3m', 'P4/mmm', 'Pm-3m']"
AuV,3,"['F-43m', 'Fm-3m', 'P4/mmm']"
Ba2Ga2,3,"['Cmcm', 'Pmma', 'Pmmn']"
Ba2Ge2,3,"['Cmcm', 'P4/nmm', 'Pmmn']"
Ba2In4,3,"['C2/m', 'Fd-3m', 'Imma']"
BaW3,3,"['Imm2', 'Immm', 'Pmm2']"
CaCr3,3,"['Cmmm', 'Imm2', 'Pmm2']"
CaW3,3,"['Fm-3m', 'P4/mmm', 'Pm-3m']"
Cr3Nb,3,"['Fm-3m', 'Immm', 'Pm-3m']"
Cr4Nb2,3,"['Fd-3m', 'I4_1/amd', 'Pnnm']"
CrTa,3,"['Cmmm', 'F-43m', 'P-6m2']"
CrTh,3,"['F-43m', 'Fm-3m', 'P-6m2']"
CsBr,3,"['F-43m', 'Fm-3m', 'Pm-3m']"
CsYb,3,"['F-43m', 'P-6m2', 'R-3m']"
