Split_CSV_Name,Total_Samples,1st_Percentile_Value,99th_Percentile_Value,Count_Under_1st,Count_Over_99th,Total_Outliers
split_both_hhi_test,601,-1.60189,2.0775,6,6,12
split_both_hhi_train,3834,-1.40471,1.99044,39,39,78
split_crystalsys_test,1509,-0.82894,1.23803,16,16,32
split_crystalsys_train,2926,-1.57581,2.23407,30,30,60
split_crystalsys_cubic_test,1142,-1.59057,2.76345,12,12,24
split_crystalsys_cubic_train,3293,-1.34324,1.44258,33,33,66
split_crystalsys_hexagonal_test,205,-1.61983,1.63603,3,3,6
split_crystalsys_hexagonal_train,4230,-1.41669,1.99764,43,43,86
split_crystalsys_monoclinic_test,69,-2.862,0.76226,1,1,2
split_crystalsys_monoclinic_train,4366,-1.42878,1.99866,44,44,88
split_crystalsys_orthorhombic_test,1373,-1.19129,1.38161,14,14,28
split_crystalsys_orthorhombic_train,3062,-1.4873,2.14746,31,31,62
split_crystalsys_triclinic_test,49,-0.56001,0.04426,1,1,2
split_crystalsys_triclinic_train,4386,-1.46332,1.99817,44,44,88
split_crystalsys_trigonal_test,88,-1.58516,2.8289,1,1,2
split_crystalsys_trigonal_train,4347,-1.40236,1.99429,44,44,88
split_OFM_cluster_cluster1,332,-0.43727,2.61677,4,4,8
split_OFM_cluster_cluster10,18,-0.24296,0.6627,1,1,2
split_OFM_cluster_cluster2,620,-0.55892,2.17701,7,7,14
split_OFM_cluster_cluster3,2922,-1.61529,1.96121,30,30,60
split_OFM_cluster_cluster4,24,-0.42218,2.14425,1,1,2
split_OFM_cluster_cluster5,14,-1.21546,0.99253,1,1,2
split_OFM_cluster_cluster6,117,-0.56495,3.35221,2,2,4
split_OFM_cluster_cluster7,28,-1.1712,1.70491,1,1,2
split_OFM_cluster_cluster8,138,-0.85542,0.44557,2,2,4
split_OFM_cluster_cluster9,222,-0.63806,1.04419,3,3,6
split_OFM_isolation_test,444,-1.66873,2.2788,5,5,10
split_OFM_isolation_train,3991,-1.2414,1.99146,40,40,80
split_rand_seed02_chunk1,887,-1.5758,1.75236,9,9,18
split_rand_seed02_chunk2,887,-1.30074,2.17765,9,9,18
split_rand_seed02_chunk3,887,-1.16825,2.12667,9,9,18
split_rand_seed02_chunk4,887,-1.62781,1.71997,9,9,18
split_rand_seed02_chunk5,887,-1.4951,2.23389,9,9,18
split_rand_seed12_chunk1,887,-1.47262,2.34832,9,9,18
split_rand_seed12_chunk2,887,-0.96059,2.12864,9,9,18
split_rand_seed12_chunk3,887,-1.87899,2.07421,9,9,18
split_rand_seed12_chunk4,887,-1.12206,1.63881,9,9,18
split_rand_seed12_chunk5,887,-1.43406,1.73836,9,9,18
split_rand_seed22_chunk1,887,-1.5272,2.01105,9,9,18
split_rand_seed22_chunk2,887,-1.59697,1.81807,9,9,18
split_rand_seed22_chunk3,887,-1.01877,1.84013,9,9,18
split_rand_seed22_chunk4,887,-1.14785,1.99732,9,9,18
split_rand_seed22_chunk5,887,-1.57474,1.98481,9,9,18
split_rand_seed32_chunk1,887,-1.62678,1.97216,9,9,18
split_rand_seed32_chunk2,887,-1.47906,1.75989,9,9,18
split_rand_seed32_chunk3,887,-1.51392,2.01034,9,9,18
split_rand_seed32_chunk4,887,-1.18201,1.78664,9,9,18
split_rand_seed32_chunk5,887,-1.1958,2.15843,9,9,18
split_rand_seed42_chunk1,887,-1.29826,2.40428,9,9,18
split_rand_seed42_chunk2,887,-1.47028,1.75236,9,9,18
split_rand_seed42_chunk3,887,-1.4943,1.79584,9,9,18
split_rand_seed42_chunk4,887,-1.35552,1.98468,9,9,18
split_rand_seed42_chunk5,887,-1.37823,1.7696,9,9,18
split_structural_complexity_test,443,-1.98437,1.05464,5,5,10
split_structural_complexity_train,3992,-1.41985,2.07818,40,40,80
