file_name,formula,space_group,value_per_atom,composition,outlier_type
2482_Ac3Mn,Ac3Mn,I4/mmm,-53.62881944,Ac3Mn,under_1st_percentile
4191_CeBi,CeBi,Pm-3m,-20.51942767,CeBi,under_1st_percentile
1459_CsW,CsW,F-43m,-11.82074014,CsW,under_1st_percentile
3863_BaBr2,BaBr2,Fmmm,-11.34664137,BaBr2,under_1st_percentile
2845_Sr2W,Sr2W,Fmmm,-8.57509368,Sr2W,under_1st_percentile
3544_Ba2Sb,Ba2Sb,Fmmm,-8.070921585,Ba2Sb,under_1st_percentile
56_CsMn,CsMn,P-6m2,-5.420664132,CsMn,under_1st_percentile
1568_Cs16Bi16,Cs16Bi16,P2_1/c,-4.954624199,CsBi,under_1st_percentile
3432_Ba4Br8,Ba4Br8,Pnma,-2.396192796,BaBr2,under_1st_percentile
2419_Ag5Al3,Ag5Al3,Amm2,-2.339860029,Al3Ag5,under_1st_percentile
593_Ba2Br4,Ba2Br4,I4/mcm,-2.1866423,BaBr2,under_1st_percentile
2474_Sr4Br8,Sr4Br8,Pnma,-2.158174452,SrBr2,under_1st_percentile
543_Sr4Br8,Sr4Br8,Pnma,-2.155520285,SrBr2,under_1st_percentile
932_BaBr2,BaBr2,I4/mmm,-2.124731628,BaBr2,under_1st_percentile
565_BaBr2,BaBr2,I4/mmm,-2.12463594,BaBr2,under_1st_percentile
2073_BaBr2,BaBr2,I4/mmm,-2.124535582,BaBr2,under_1st_percentile
2915_Ce2Br6,Ce2Br6,P6_3/m,-2.115485692,CeBr3,under_1st_percentile
4600_Sr8Br16,Sr8Br16,Fd-3m,-2.052905571,SrBr2,under_1st_percentile
3981_CsBr,CsBr,Fm-3m,-1.953201337,CsBr,under_1st_percentile
4195_KBr,KBr,Fm-3m,-1.900079049,KBr,under_1st_percentile
2630_CsBr,CsBr,Pm-3m,-1.890507126,CsBr,under_1st_percentile
4037_Ca8Br16,Ca8Br16,Fd-3m,-1.889733781,CaBr2,under_1st_percentile
4392_Eu4I8,Eu4I8,P2_1/c,-1.877240265,EuI2,under_1st_percentile
274_CsBr,CsBr,F-43m,-1.850280312,CsBr,under_1st_percentile
3991_CeAs,CeAs,Fm-3m,-1.737496622,CeAs,under_1st_percentile
3016_NaBr,NaBr,Fm-3m,-1.719276544,NaBr,under_1st_percentile
4769_Sr2Br6,Sr2Br6,Pmmn,-1.68282414,SrBr3,under_1st_percentile
2769_Ba2Br6,Ba2Br6,Pm-3n,-1.669242551,BaBr3,under_1st_percentile
1527_Ba2Br2,Ba2Br2,P4/nmm,-1.645370826,BaBr,under_1st_percentile
1445_CsI,CsI,P-6m2,-1.619871336,CsI,under_1st_percentile
657_CsI,CsI,P-6m2,-1.618852981,CsI,under_1st_percentile
3716_RbI,RbI,R-3m,-1.601891827,RbI,under_1st_percentile
998_KI,KI,R-3m,-1.585206425,KI,under_1st_percentile
1440_KI,KI,R-3m,-1.585149885,KI,under_1st_percentile
3887_SmSb,SmSb,R-3m,-1.577571802,SmSb,under_1st_percentile
2988_Sr6Br18,Sr6Br18,Pmmn,-1.576317273,SrBr3,under_1st_percentile
3038_NaBr,NaBr,Pm-3m,-1.574279165,NaBr,under_1st_percentile
4039_NaBr,NaBr,Pm-3m,-1.567115032,NaBr,under_1st_percentile
3355_NaBr,NaBr,Cmmm,-1.515036016,NaBr,under_1st_percentile
4561_BaBr,BaBr,F-43m,-1.499596806,BaBr,under_1st_percentile
957_BaBr3,BaBr3,P4/mmm,-1.49343907,BaBr3,under_1st_percentile
4309_SrBr,SrBr,P-6m2,-1.483376796,SrBr,under_1st_percentile
587_Ac4Br6,Ac4Br6,R-3c,-1.47671812,Ac2Br3,under_1st_percentile
262_BaBr3,BaBr3,P4/mmm,-1.469235846,BaBr3,under_1st_percentile
3836_Ac4Br6,Ac4Br6,R-3c,-1.462273355,Ac2Br3,under_1st_percentile
2389_CuMo,CuMo,F-43m,1.99780866,CuMo,over_99th_percentile
3533_Pd2Br,Pd2Br,Fmmm,2.000228916,Pd2Br,over_99th_percentile
4093_CaNb4,CaNb4,Im-3m,2.07245271,CaNb4,over_99th_percentile
3215_K8W4,K8W4,Pa-3,2.07750302,K2W,over_99th_percentile
3992_CaTa,CaTa,Fm-3m,2.085022014,CaTa,over_99th_percentile
4612_IrK,IrK,Fm-3m,2.116775692,KIr,over_99th_percentile
2410_AgTa,AgTa,F-43m,2.146106139,TaAg,over_99th_percentile
1924_AuNp,AuNp,F-43m,2.149572076,NpAu,over_99th_percentile
1052_CuIr,CuIr,F-43m,2.167745215,CuIr,over_99th_percentile
481_RbW,RbW,P4/mmm,2.187420243,RbW,over_99th_percentile
1161_AuMo,AuMo,F-43m,2.201538088,MoAu,over_99th_percentile
