file_name,value_per_atom,space_group,mean_10nn_dist,outlier_type
1459_CsW,-11.82074013651485,F-43m,1.8360126649673312,under_1st_percentile
3863_BaBr2,-11.34664136590266,Fmmm,4.445479413921914,under_1st_percentile
2845_Sr2W,-8.575093680456437,Fmmm,1.9523922435023533,under_1st_percentile
3544_Ba2Sb,-8.07092158461461,Fmmm,1.4012277467374568,under_1st_percentile
56_CsMn,-5.420664132459949,P-6m2,2.137807060608892,under_1st_percentile
1568_Cs16Bi16,-4.954624198783083,P2_1/c,3.088745945489724,under_1st_percentile
3432_Ba4Br8,-2.3961927963342133,Pnma,1.1583725165159,under_1st_percentile
2419_Ag5Al3,-2.339860029082108,Amm2,0.8444172959265954,under_1st_percentile
593_Ba2Br4,-2.1866423000315485,I4/mcm,1.2340443983601876,under_1st_percentile
2474_Sr4Br8,-2.1581744519040207,Pnma,1.3295631241970196,under_1st_percentile
543_Sr4Br8,-2.1555202848237465,Pnma,1.3562990764295713,under_1st_percentile
932_BaBr2,-2.124731627500796,I4/mmm,1.9114480932941889,under_1st_percentile
565_BaBr2,-2.1246359399750907,I4/mmm,1.768862741206282,under_1st_percentile
2073_BaBr2,-2.124535582082067,I4/mmm,1.7795659767916796,under_1st_percentile
4600_Sr8Br16,-2.052905570554053,Fd-3m,1.1211616918486071,under_1st_percentile
3981_CsBr,-1.9532013368567016,Fm-3m,1.4186372853364848,under_1st_percentile
4195_KBr,-1.9000790488547985,Fm-3m,1.7681005157687857,under_1st_percentile
2630_CsBr,-1.8905071260349693,Pm-3m,3.361709793647216,under_1st_percentile
4037_Ca8Br16,-1.8897337814623807,Fd-3m,1.133366612592713,under_1st_percentile
274_CsBr,-1.85028031224608,F-43m,3.291435685007452,under_1st_percentile
3016_NaBr,-1.7192765439625828,Fm-3m,2.7878743430566546,under_1st_percentile
4769_Sr2Br6,-1.6828241395262955,Pmmn,1.2909737053686097,under_1st_percentile
2769_Ba2Br6,-1.669242551351272,Pm-3n,2.567783491467584,under_1st_percentile
1527_Ba2Br2,-1.6453708263697826,P4/nmm,1.2793450307248269,under_1st_percentile
1445_CsI,-1.619871335866558,P-6m2,1.6242021736226924,under_1st_percentile
657_CsI,-1.618852980774196,P-6m2,1.6241967300042894,under_1st_percentile
3716_RbI,-1.6018918268005236,R-3m,1.4023731994708972,under_1st_percentile
998_KI,-1.585206424514379,R-3m,1.415393948318313,under_1st_percentile
1440_KI,-1.585149885067622,R-3m,1.4153930759770776,under_1st_percentile
2988_Sr6Br18,-1.5763172728936563,Pmmn,1.4929590484760156,under_1st_percentile
3038_NaBr,-1.574279165099012,Pm-3m,5.062544312393301,under_1st_percentile
4039_NaBr,-1.5671150316488234,Pm-3m,5.113285348164679,under_1st_percentile
3355_NaBr,-1.51503601569897,Cmmm,1.7495534536502368,under_1st_percentile
4561_BaBr,-1.499596806424356,F-43m,0.8484444979470668,under_1st_percentile
957_BaBr3,-1.4934390696260131,P4/mmm,4.057594265930435,under_1st_percentile
4309_SrBr,-1.4833767957406825,P-6m2,1.588678671985106,under_1st_percentile
262_BaBr3,-1.4692358460725734,P4/mmm,1.7210206024134709,under_1st_percentile
4011_SrBr,-1.3925750242942536,Fm-3m,1.085311440580036,under_1st_percentile
645_CaBr3,-1.3581370482902582,Immm,1.928294011616265,under_1st_percentile
607_NaI,-1.3156962778764316,F-43m,2.34268764011719,under_1st_percentile
631_SrW,1.9972426006473425,Pm-3m,1.4315313094509807,over_99th_percentile
2389_CuMo,1.9978086601672205,F-43m,3.000873914577637,over_99th_percentile
3533_Pd2Br,2.000228915517294,Fmmm,8.16531339311673,over_99th_percentile
4093_CaNb4,2.0724527098289203,Im-3m,2.68107894789797,over_99th_percentile
3215_K8W4,2.0775030196961777,Pa-3,1.9215563303810008,over_99th_percentile
3992_CaTa,2.085022014389096,Fm-3m,1.5661923695646207,over_99th_percentile
4612_IrK,2.116775691776342,Fm-3m,7.910653248097287,over_99th_percentile
2410_AgTa,2.1461061385795173,F-43m,5.13003866812045,over_99th_percentile
1052_CuIr,2.1677452154660086,F-43m,5.164121273286507,over_99th_percentile
481_RbW,2.187420242882454,P4/mmm,3.0254947343662506,over_99th_percentile
1161_AuMo,2.2015380882334377,F-43m,4.985230570791186,over_99th_percentile
1125_AlMo2,2.233849459482612,Fmmm,4.911469198074117,over_99th_percentile
270_FeNa,2.2341407373912583,Fm-3m,4.778368894680236,over_99th_percentile
4099_CuW,2.2610068203752807,F-43m,4.646468676086625,over_99th_percentile
2202_Cr3Sr,2.343766949356529,P4/mmm,2.1500659572908765,over_99th_percentile
2643_MnW3,2.350156780098427,Pm-3m,5.700194477868498,over_99th_percentile
969_CsW,2.3783873322065965,P-6m2,3.304422558286782,over_99th_percentile
200_CsW,2.392753487086816,P-6m2,3.4334883757513297,over_99th_percentile
648_CrTa,2.4750764616864167,F-43m,5.037147029861629,over_99th_percentile
241_CrTa,2.5070367353222007,F-43m,5.020179962535031,over_99th_percentile
118_CrTa,2.66607583354954,F-43m,4.965616990216942,over_99th_percentile
1997_BaTa2,2.6742888561602256,P4/mmm,4.624420047953934,over_99th_percentile
1135_BaIr2,2.783862077291165,Fmmm,4.0169409301437575,over_99th_percentile
2836_CaW4,2.8311244584186808,Im-3m,1.573035724876127,over_99th_percentile
2131_Cr3Nb,2.842053501474326,Pm-3m,4.993876065953419,over_99th_percentile
199_Al2V,3.021478292177701,Fmmm,8.438955767817138,over_99th_percentile
4560_CuW3,3.1041706291605253,Pm-3m,3.9743718112316073,over_99th_percentile
1167_AgTa3,3.130992588674295,Pm-3m,4.822343724505599,over_99th_percentile
2435_RbTa,3.1517506112669618,Fm-3m,4.918053311516126,over_99th_percentile
1711_Fe3Pb,3.1602556276759275,Pm-3m,4.874542608521518,over_99th_percentile
