file_name,value_per_atom,space_group,outlier_type
2482_Ac3Mn,-53.62881944,I4/mmm,under_1st_percentile
3863_BaBr2,-11.34664137,Fmmm,under_1st_percentile
2845_Sr2W,-8.57509368,Fmmm,under_1st_percentile
3544_Ba2Sb,-8.070921585,Fmmm,under_1st_percentile
56_CsMn,-5.420664132,P-6m2,under_1st_percentile
1568_Cs16Bi16,-4.954624199,P2_1/c,under_1st_percentile
3432_Ba4Br8,-2.396192796,Pnma,under_1st_percentile
2419_Ag5Al3,-2.339860029,Amm2,under_1st_percentile
593_Ba2Br4,-2.1866423,I4/mcm,under_1st_percentile
2474_Sr4Br8,-2.158174452,Pnma,under_1st_percentile
543_Sr4Br8,-2.155520285,Pnma,under_1st_percentile
932_BaBr2,-2.124731628,I4/mmm,under_1st_percentile
565_BaBr2,-2.12463594,I4/mmm,under_1st_percentile
2073_BaBr2,-2.124535582,I4/mmm,under_1st_percentile
2915_Ce2Br6,-2.115485692,P6_3/m,under_1st_percentile
4392_Eu4I8,-1.877240265,P2_1/c,under_1st_percentile
4769_Sr2Br6,-1.68282414,Pmmn,under_1st_percentile
1527_Ba2Br2,-1.645370826,P4/nmm,under_1st_percentile
1445_CsI,-1.619871336,P-6m2,under_1st_percentile
657_CsI,-1.618852981,P-6m2,under_1st_percentile
998_KI,-1.585206425,R-3m,under_1st_percentile
1440_KI,-1.585149885,R-3m,under_1st_percentile
3887_SmSb,-1.577571802,R-3m,under_1st_percentile
2988_Sr6Br18,-1.576317273,Pmmn,under_1st_percentile
3355_NaBr,-1.515036016,Cmmm,under_1st_percentile
957_BaBr3,-1.49343907,P4/mmm,under_1st_percentile
4309_SrBr,-1.483376796,P-6m2,under_1st_percentile
587_Ac4Br6,-1.47671812,R-3c,under_1st_percentile
262_BaBr3,-1.469235846,P4/mmm,under_1st_percentile
3836_Ac4Br6,-1.462273355,R-3c,under_1st_percentile
645_CaBr3,-1.358137048,Immm,under_1st_percentile
3619_EuI,-1.355209276,P-6m2,under_1st_percentile
74_SmSb,-1.345005036,P-6m2,under_1st_percentile
1867_Cr6Sr2,1.446610364,I4/mmm,over_99th_percentile
3861_FeRb,1.447693114,Amm2,over_99th_percentile
2826_BaW3,1.455362335,Immm,over_99th_percentile
2551_Ba2Fe2,1.461589642,P6_3mc,over_99th_percentile
4287_Ba4W2,1.464291426,Pnnm,over_99th_percentile
2906_BaW3,1.471400624,Imm2,over_99th_percentile
3451_MoSr,1.473665417,P4/mmm,over_99th_percentile
3434_Al4Np2,1.525510836,P4_2/mnm,over_99th_percentile
4585_CsIr,1.543183644,R-3m,over_99th_percentile
1706_CsIr,1.558319505,P-6m2,over_99th_percentile
4109_RbTa,1.55870095,P-6m2,over_99th_percentile
2742_CsIr,1.56645733,R-3m,over_99th_percentile
3678_K2Ta,1.574859957,P4/mmm,over_99th_percentile
2541_RbV,1.602045834,P-6m2,over_99th_percentile
2161_RbV,1.602098168,P-6m2,over_99th_percentile
3735_Cs2Fe2,1.637443423,P6_3/mmc,over_99th_percentile
2752_WBr,1.659286756,P4/mmm,over_99th_percentile
3533_Pd2Br,2.000228916,Fmmm,over_99th_percentile
481_RbW,2.187420243,P4/mmm,over_99th_percentile
1125_AlMo2,2.233849459,Fmmm,over_99th_percentile
2202_Cr3Sr,2.343766949,P4/mmm,over_99th_percentile
969_CsW,2.378387332,P-6m2,over_99th_percentile
200_CsW,2.392753487,P-6m2,over_99th_percentile
1832_Ni4U6,2.431914498,R-3c,over_99th_percentile
1997_BaTa2,2.674288856,P4/mmm,over_99th_percentile
1135_BaIr2,2.783862077,Fmmm,over_99th_percentile
199_Al2V,3.021478292,Fmmm,over_99th_percentile
3459_Fe2Mo,3.287027324,Fmmm,over_99th_percentile
4483_Ir2Mo,3.592244712,Fmmm,over_99th_percentile
4864_K2Mo,4.816693694,Fmmm,over_99th_percentile
2375_Ga13Mn13,5.485676899,R-3m,over_99th_percentile
1705_CaMn2,6.453217613,Fmmm,over_99th_percentile
2346_Fe2Pt2,23.19357049,P4/nmm,over_99th_percentile
