file_name,value_per_atom,space_group,outlier_type
2482_Ac3Mn,-53.62881944,I4/mmm,under_1st_percentile
4191_CeBi,-20.51942767,Pm-3m,under_1st_percentile
1459_CsW,-11.82074014,F-43m,under_1st_percentile
56_CsMn,-5.420664132,P-6m2,under_1st_percentile
1568_Cs16Bi16,-4.954624199,P2_1/c,under_1st_percentile
593_Ba2Br4,-2.1866423,I4/mcm,under_1st_percentile
932_BaBr2,-2.124731628,I4/mmm,under_1st_percentile
565_BaBr2,-2.12463594,I4/mmm,under_1st_percentile
2073_BaBr2,-2.124535582,I4/mmm,under_1st_percentile
2915_Ce2Br6,-2.115485692,P6_3/m,under_1st_percentile
4600_Sr8Br16,-2.052905571,Fd-3m,under_1st_percentile
3981_CsBr,-1.953201337,Fm-3m,under_1st_percentile
4195_KBr,-1.900079049,Fm-3m,under_1st_percentile
2630_CsBr,-1.890507126,Pm-3m,under_1st_percentile
4037_Ca8Br16,-1.889733781,Fd-3m,under_1st_percentile
4392_Eu4I8,-1.877240265,P2_1/c,under_1st_percentile
274_CsBr,-1.850280312,F-43m,under_1st_percentile
3991_CeAs,-1.737496622,Fm-3m,under_1st_percentile
3016_NaBr,-1.719276544,Fm-3m,under_1st_percentile
2769_Ba2Br6,-1.669242551,Pm-3n,under_1st_percentile
1527_Ba2Br2,-1.645370826,P4/nmm,under_1st_percentile
1445_CsI,-1.619871336,P-6m2,under_1st_percentile
657_CsI,-1.618852981,P-6m2,under_1st_percentile
3716_RbI,-1.601891827,R-3m,under_1st_percentile
998_KI,-1.585206425,R-3m,under_1st_percentile
1440_KI,-1.585149885,R-3m,under_1st_percentile
3887_SmSb,-1.577571802,R-3m,under_1st_percentile
3038_NaBr,-1.574279165,Pm-3m,under_1st_percentile
4039_NaBr,-1.567115032,Pm-3m,under_1st_percentile
4561_BaBr,-1.499596806,F-43m,under_1st_percentile
957_BaBr3,-1.49343907,P4/mmm,under_1st_percentile
1924_AuNp,2.149572076,F-43m,over_99th_percentile
1052_CuIr,2.167745215,F-43m,over_99th_percentile
481_RbW,2.187420243,P4/mmm,over_99th_percentile
1161_AuMo,2.201538088,F-43m,over_99th_percentile
270_FeNa,2.234140737,Fm-3m,over_99th_percentile
4099_CuW,2.26100682,F-43m,over_99th_percentile
2202_Cr3Sr,2.343766949,P4/mmm,over_99th_percentile
2643_MnW3,2.35015678,Pm-3m,over_99th_percentile
2489_RbU,2.376284508,Fm-3m,over_99th_percentile
969_CsW,2.378387332,P-6m2,over_99th_percentile
200_CsW,2.392753487,P-6m2,over_99th_percentile
1832_Ni4U6,2.431914498,R-3c,over_99th_percentile
648_CrTa,2.475076462,F-43m,over_99th_percentile
241_CrTa,2.507036735,F-43m,over_99th_percentile
977_SmW,2.654567875,F-43m,over_99th_percentile
118_CrTa,2.666075834,F-43m,over_99th_percentile
1997_BaTa2,2.674288856,P4/mmm,over_99th_percentile
2836_CaW4,2.831124458,Im-3m,over_99th_percentile
2131_Cr3Nb,2.842053501,Pm-3m,over_99th_percentile
4560_CuW3,3.104170629,Pm-3m,over_99th_percentile
1167_AgTa3,3.130992589,Pm-3m,over_99th_percentile
2435_RbTa,3.151750611,Fm-3m,over_99th_percentile
1711_Fe3Pb,3.160255628,Pm-3m,over_99th_percentile
676_AgTa3,3.185028116,Pm-3m,over_99th_percentile
178_SrW2,3.227606367,Fm-3m,over_99th_percentile
323_TaYb,3.229303226,F-43m,over_99th_percentile
1964_SrW4,3.295389824,Im-3m,over_99th_percentile
4244_AgIr3,3.460465851,Pm-3m,over_99th_percentile
4272_RbW,3.473318277,F-43m,over_99th_percentile
2375_Ga13Mn13,5.485676899,R-3m,over_99th_percentile
2346_Fe2Pt2,23.19357049,P4/nmm,over_99th_percentile
