file_name,value_per_atom,space_group,outlier_type
1459_CsW,-11.82074013651485,F-43m,under_1st_percentile
274_CsBr,-1.85028031224608,F-43m,under_1st_percentile
3991_CeAs,-1.7374966219490622,Fm-3m,under_1st_percentile
2769_Ba2Br6,-1.669242551351272,Pm-3n,under_1st_percentile
1527_Ba2Br2,-1.6453708263697826,P4/nmm,under_1st_percentile
2988_Sr6Br18,-1.5763172728936563,Pmmn,under_1st_percentile
4561_BaBr,-1.499596806424356,F-43m,under_1st_percentile
2193_AcSb,-1.3729502658314,Fm-3m,under_1st_percentile
2791_EuI,-1.3246680484950362,Fm-3m,under_1st_percentile
2643_MnW3,2.350156780098427,Pm-3m,over_99th_percentile
1832_Ni4U6,2.4319144975516,R-3c,over_99th_percentile
2836_CaW4,2.8311244584186808,Im-3m,over_99th_percentile
199_Al2V,3.021478292177701,Fmmm,over_99th_percentile
1167_AgTa3,3.130992588674295,Pm-3m,over_99th_percentile
323_TaYb,3.229303225683664,F-43m,over_99th_percentile
3459_Fe2Mo,3.2870273239455563,Fmmm,over_99th_percentile
4272_RbW,3.473318277164075,F-43m,over_99th_percentile
2346_Fe2Pt2,23.193570485481807,P4/nmm,over_99th_percentile
