file_name,formula,space_group,value_per_atom,outlier_type
2482_Ac3Mn,Ac3Mn,I4/mmm,-53.62881943695404,under_1st_percentile
1568_Cs16Bi16,Cs16Bi16,P2_1/c,-4.954624198783083,under_1st_percentile
2419_Ag5Al3,Ag5Al3,Amm2,-2.339860029082108,under_1st_percentile
565_BaBr2,BaBr2,I4/mmm,-2.1246359399750907,under_1st_percentile
3981_CsBr,CsBr,Fm-3m,-1.9532013368567016,under_1st_percentile
274_CsBr,CsBr,F-43m,-1.85028031224608,under_1st_percentile
2988_Sr6Br18,Sr6Br18,Pmmn,-1.5763172728936563,under_1st_percentile
4309_SrBr,SrBr,P-6m2,-1.4833767957406825,under_1st_percentile
587_Ac4Br6,Ac4Br6,R-3c,-1.476718120044118,under_1st_percentile
222_BaIr2,BaIr2,Fm-3m,1.7617864823163814,over_99th_percentile
627_AuIr,AuIr,F-43m,1.8220014981525097,over_99th_percentile
1106_SnW,SnW,F-43m,1.9705389854412072,over_99th_percentile
1924_AuNp,AuNp,F-43m,2.1495720761711983,over_99th_percentile
1161_AuMo,AuMo,F-43m,2.2015380882334377,over_99th_percentile
199_Al2V,Al2V,Fmmm,3.021478292177701,over_99th_percentile
4560_CuW3,CuW3,Pm-3m,3.1041706291605253,over_99th_percentile
4244_AgIr3,AgIr3,Pm-3m,3.4604658513367634,over_99th_percentile
2375_Ga13Mn13,Ga13Mn13,R-3m,5.485676899432976,over_99th_percentile
