file_name,formula,space_group,value_per_atom,composition,HHI_P,HHI_R,outlier_type
4191_CeBi,CeBi,Pm-3m,-20.51942767497456,CeBi,6985.744109649942,4836.033829051231,under_1st_percentile
3863_BaBr2,BaBr2,Fmmm,-11.34664136590266,BaBr2,3161.348881821395,4774.016187928046,under_1st_percentile
2845_Sr2W,Sr2W,Fmmm,-8.575093680456437,Sr2W,5633.530132560989,3665.567561546173,under_1st_percentile
3544_Ba2Sb,Ba2Sb,Fmmm,-8.07092158461461,Ba2Sb,4505.052798337092,2637.868995545062,under_1st_percentile
56_CsMn,CsMn,P-6m2,-5.420664132459949,CsMn,4713.144708285081,4771.63813063576,under_1st_percentile
3432_Ba4Br8,Ba4Br8,Pnma,-2.3961927963342133,BaBr2,3161.348881821395,4774.016187928046,under_1st_percentile
2419_Ag5Al3,Ag5Al3,Amm2,-2.339860029082108,Al3Ag5,1252.19828655585,1347.801713444151,under_1st_percentile
593_Ba2Br4,Ba2Br4,I4/mcm,-2.1866423000315485,BaBr2,3161.348881821395,4774.016187928046,under_1st_percentile
2474_Sr4Br8,Sr4Br8,Pnma,-2.1581744519040207,SrBr2,3618.710897715699,5518.91944323197,under_1st_percentile
543_Sr4Br8,Sr4Br8,Pnma,-2.1555202848237465,SrBr2,3618.710897715699,5518.91944323197,under_1st_percentile
932_BaBr2,BaBr2,I4/mmm,-2.124731627500796,BaBr2,3161.348881821395,4774.016187928046,under_1st_percentile
565_BaBr2,BaBr2,I4/mmm,-2.1246359399750907,BaBr2,3161.348881821395,4774.016187928046,under_1st_percentile
2073_BaBr2,BaBr2,I4/mmm,-2.124535582082067,BaBr2,3161.348881821395,4774.016187928046,under_1st_percentile
4600_Sr8Br16,Sr8Br16,Fd-3m,-2.052905570554053,SrBr2,3618.710897715699,5518.91944323197,under_1st_percentile
3981_CsBr,CsBr,Fm-3m,-1.9532013368567016,CsBr,4986.225479771559,6337.924840076146,under_1st_percentile
4195_KBr,KBr,Fm-3m,-1.9000790488547985,KBr,2774.318731654766,6998.565237814732,under_1st_percentile
2630_CsBr,CsBr,Pm-3m,-1.8905071260349693,CsBr,4986.225479771559,6337.924840076146,under_1st_percentile
4037_Ca8Br16,Ca8Br16,Fd-3m,-1.8897337814623807,CaBr2,3420.302572466306,5817.276847803248,under_1st_percentile
4392_Eu4I8,Eu4I8,P2_1/c,-1.877240265112853,EuI2,6622.723057875668,4163.341478611166,under_1st_percentile
274_CsBr,CsBr,F-43m,-1.85028031224608,CsBr,4986.225479771559,6337.924840076146,under_1st_percentile
3991_CeAs,CeAs,Fm-3m,-1.7374966219490622,CeAs,7339.847914969289,3413.570463956071,under_1st_percentile
3016_NaBr,NaBr,Fm-3m,-1.7192765439625828,NaBr,2808.449415645705,5470.034663696596,under_1st_percentile
4769_Sr2Br6,Sr2Br6,Pmmn,-1.6828241395262955,SrBr3,3540.911368274412,5856.050737477545,under_1st_percentile
2769_Ba2Br6,Ba2Br6,Pm-3n,-1.669242551351272,BaBr3,3190.732523691183,5224.565363264808,under_1st_percentile
1527_Ba2Br2,Ba2Br2,P4/nmm,-1.6453708263697826,BaBr,3110.348891272424,3992.016332843839,under_1st_percentile
998_KI,KI,R-3m,-1.585206424514379,KI,4146.310407952831,5365.267194035378,under_1st_percentile
1440_KI,KI,R-3m,-1.585149885067622,KI,4146.310407952831,5365.267194035378,under_1st_percentile
3887_SmSb,SmSb,R-3m,-1.5775718023941758,SmSb,8784.08055269734,3234.234896369249,under_1st_percentile
2988_Sr6Br18,Sr6Br18,Pmmn,-1.5763172728936563,SrBr3,3540.911368274412,5856.050737477545,under_1st_percentile
3038_NaBr,NaBr,Pm-3m,-1.574279165099012,NaBr,2808.449415645705,5470.034663696596,under_1st_percentile
4039_NaBr,NaBr,Pm-3m,-1.5671150316488234,NaBr,2808.449415645705,5470.034663696596,under_1st_percentile
3355_NaBr,NaBr,Cmmm,-1.51503601569897,NaBr,2808.449415645705,5470.034663696596,under_1st_percentile
4561_BaBr,BaBr,F-43m,-1.499596806424356,BaBr,3110.348891272424,3992.016332843839,under_1st_percentile
957_BaBr3,BaBr3,P4/mmm,-1.4934390696260131,BaBr3,3190.732523691183,5224.565363264808,under_1st_percentile
4309_SrBr,SrBr,P-6m2,-1.4833767957406825,SrBr,3770.726582459827,4860.184809340752,under_1st_percentile
262_BaBr3,BaBr3,P4/mmm,-1.4692358460725734,BaBr3,3190.732523691183,5224.565363264808,under_1st_percentile
3121_YbBr,YbBr,Fm-3m,-1.4271186061040138,YbBr,7541.444746663294,4300.40483269024,under_1st_percentile
3390_SmP,SmP,F-43m,-1.4191332313975558,SmP,8218.919122187515,3441.621567416662,under_1st_percentile
3131_YbBr,YbBr,Fm-3m,-1.4106922041879266,YbBr,7541.444746663294,4300.40483269024,under_1st_percentile
640_SrW,SrW,Pm-3m,1.9908134049990984,SrW,6096.235172769469,3880.394901642967,over_99th_percentile
631_SrW,SrW,Pm-3m,1.9972426006473425,SrW,6096.235172769469,3880.394901642967,over_99th_percentile
2389_CuMo,CuMo,F-43m,1.9978086601672205,CuMo,2081.246002783943,3785.918513223732,over_99th_percentile
3533_Pd2Br,Pd2Br,Fmmm,2.000228915517294,Pd2Br,3227.29483781051,7699.756784084388,over_99th_percentile
3992_CaTa,CaTa,Fm-3m,2.085022014389096,CaTa,2590.123491421004,4201.620298944178,over_99th_percentile
4612_IrK,IrK,Fm-3m,2.116775691776342,KIr,4857.70119832108,8778.85059916054,over_99th_percentile
2410_AgTa,AgTa,F-43m,2.1461061385795173,TaAg,1889.167542195019,3530.154221330059,over_99th_percentile
1052_CuIr,CuIr,F-43m,2.1677452154660086,CuIr,4531.019342125327,7211.730000039099,over_99th_percentile
481_RbW,RbW,P4/mmm,2.187420242882454,RbW,6682.63897295214,4839.513745981365,over_99th_percentile
1161_AuMo,AuMo,F-43m,2.2015380882334377,MoAu,1525.808135426283,2408.442294102322,over_99th_percentile
1125_AlMo2,AlMo2,Fmmm,2.233849459482612,AlMo2,2301.374946835908,4769.890339243006,over_99th_percentile
270_FeNa,FeNa,Fm-3m,2.2341407373912583,NaFe,2020.894431011139,1137.542298392327,over_99th_percentile
4099_CuW,CuW,F-43m,2.2610068203752807,CuW,5612.902912856832,3580.764473333172,over_99th_percentile
2202_Cr3Sr,Cr3Sr,P4/mmm,2.343766949356529,SrCr3,3495.643333991494,3704.356666008506,over_99th_percentile
2643_MnW3,MnW3,Pm-3m,2.350156780098427,MnW3,6510.82280885564,4073.529078173907,over_99th_percentile
648_CrTa,CrTa,F-43m,2.4750764616864167,TaCr,2478.570315489587,4643.750973946611,over_99th_percentile
241_CrTa,CrTa,F-43m,2.5070367353222007,TaCr,2478.570315489587,4643.750973946611,over_99th_percentile
977_SmW,SmW,F-43m,2.654567875129585,SmW,8124.775583482943,3760.107719928186,over_99th_percentile
118_CrTa,CrTa,F-43m,2.66607583354954,TaCr,2478.570315489587,4643.750973946611,over_99th_percentile
1997_BaTa2,BaTa2,P4/mmm,2.6742888561602256,BaTa2,2492.557126201538,4112.295977851652,over_99th_percentile
1135_BaIr2,BaIr2,Fmmm,2.783862077291165,BaIr2,4842.002372733877,7310.246453836144,over_99th_percentile
2836_CaW4,CaW4,Im-3m,2.8311244584186808,CaW4,6839.778550960876,4155.283852480791,over_99th_percentile
199_Al2V,Al2V,Fmmm,3.021478292177701,Al2V,2425.517363602701,2165.436278027342,over_99th_percentile
4560_CuW3,CuW3,Pm-3m,3.1041706291605253,CuW3,6442.094994683497,4010.71592316922,over_99th_percentile
1167_AgTa3,AgTa3,Pm-3m,3.130992588674295,Ta3Ag,2117.653510039098,4236.383576484484,over_99th_percentile
2435_RbTa,RbTa,Fm-3m,3.1517506112669618,RbTa,3486.982913318015,5184.967431346383,over_99th_percentile
1711_Fe3Pb,Fe3Pb,Pm-3m,3.1602556276759275,Fe3Pb,2565.877219902064,1621.169626536085,over_99th_percentile
676_AgTa3,AgTa3,Pm-3m,3.185028116001336,Ta3Ag,2117.653510039098,4236.383576484484,over_99th_percentile
178_SrW2,SrW2,Fm-3m,3.2276063672278554,SrW2,6461.155282231495,4049.822095321766,over_99th_percentile
323_TaYb,TaYb,F-43m,3.229303225683664,YbTa,5819.578127929125,3968.98849757229,over_99th_percentile
3459_Fe2Mo,Fe2Mo,Fmmm,3.2870273239455563,Fe2Mo,2400.0,3202.080624187256,over_99th_percentile
1964_SrW4,SrW4,Im-3m,3.29538982431248,SrW4,6701.893120124425,4161.593234343483,over_99th_percentile
4244_AgIr3,AgIr3,Pm-3m,3.4604658513367634,AgIr3,4822.395544200952,7886.61527682496,over_99th_percentile
4272_RbW,RbW,F-43m,3.473318277164075,RbW,6682.63897295214,4839.513745981365,over_99th_percentile
4483_Ir2Mo,Ir2Mo,Fmmm,3.5922447122469983,MoIr2,4880.86990553194,8341.066335813346,over_99th_percentile
4864_K2Mo,K2Mo,Fmmm,4.81669369363701,K2Mo,2085.662749818247,6153.20110763619,over_99th_percentile
2375_Ga13Mn13,Ga13Mn13,R-3m,5.485676899432976,MnGa,3781.272425560045,1855.930062193847,over_99th_percentile
1705_CaMn2,CaMn2,Fmmm,6.453217612714281,CaMn2,2214.717477862725,1719.81945940921,over_99th_percentile
2346_Fe2Pt2,Fe2Pt2,P4/nmm,23.193570485481807,FePt,4810.085721459059,7386.341953301532,over_99th_percentile
