file_name,formula,space_group,value_per_atom,composition,crystal_system,outlier_type
4191_CeBi,CeBi,Pm-3m,-20.51942767497456,CeBi,cubic,under_1st_percentile
1459_CsW,CsW,F-43m,-11.82074013651485,CsW,cubic,under_1st_percentile
3863_BaBr2,BaBr2,Fmmm,-11.34664136590266,BaBr2,orthorhombic,under_1st_percentile
2845_Sr2W,Sr2W,Fmmm,-8.575093680456437,Sr2W,orthorhombic,under_1st_percentile
3544_Ba2Sb,Ba2Sb,Fmmm,-8.07092158461461,Ba2Sb,orthorhombic,under_1st_percentile
56_CsMn,CsMn,P-6m2,-5.420664132459949,CsMn,hexagonal,under_1st_percentile
1568_Cs16Bi16,Cs16Bi16,P2_1/c,-4.954624198783083,CsBi,monoclinic,under_1st_percentile
3432_Ba4Br8,Ba4Br8,Pnma,-2.3961927963342133,BaBr2,orthorhombic,under_1st_percentile
2419_Ag5Al3,Ag5Al3,Amm2,-2.339860029082108,Al3Ag5,orthorhombic,under_1st_percentile
2474_Sr4Br8,Sr4Br8,Pnma,-2.1581744519040207,SrBr2,orthorhombic,under_1st_percentile
543_Sr4Br8,Sr4Br8,Pnma,-2.1555202848237465,SrBr2,orthorhombic,under_1st_percentile
2915_Ce2Br6,Ce2Br6,P6_3/m,-2.11548569156943,CeBr3,hexagonal,under_1st_percentile
4600_Sr8Br16,Sr8Br16,Fd-3m,-2.052905570554053,SrBr2,cubic,under_1st_percentile
3981_CsBr,CsBr,Fm-3m,-1.9532013368567016,CsBr,cubic,under_1st_percentile
4195_KBr,KBr,Fm-3m,-1.9000790488547985,KBr,cubic,under_1st_percentile
2630_CsBr,CsBr,Pm-3m,-1.8905071260349693,CsBr,cubic,under_1st_percentile
4037_Ca8Br16,Ca8Br16,Fd-3m,-1.8897337814623807,CaBr2,cubic,under_1st_percentile
4392_Eu4I8,Eu4I8,P2_1/c,-1.877240265112853,EuI2,monoclinic,under_1st_percentile
274_CsBr,CsBr,F-43m,-1.85028031224608,CsBr,cubic,under_1st_percentile
3991_CeAs,CeAs,Fm-3m,-1.7374966219490622,CeAs,cubic,under_1st_percentile
3016_NaBr,NaBr,Fm-3m,-1.7192765439625828,NaBr,cubic,under_1st_percentile
4769_Sr2Br6,Sr2Br6,Pmmn,-1.6828241395262955,SrBr3,orthorhombic,under_1st_percentile
2769_Ba2Br6,Ba2Br6,Pm-3n,-1.669242551351272,BaBr3,cubic,under_1st_percentile
1445_CsI,CsI,P-6m2,-1.619871335866558,CsI,hexagonal,under_1st_percentile
657_CsI,CsI,P-6m2,-1.618852980774196,CsI,hexagonal,under_1st_percentile
3716_RbI,RbI,R-3m,-1.6018918268005236,RbI,cubic,under_1st_percentile
998_KI,KI,R-3m,-1.585206424514379,KI,trigonal,under_1st_percentile
1440_KI,KI,R-3m,-1.585149885067622,KI,trigonal,under_1st_percentile
3887_SmSb,SmSb,R-3m,-1.5775718023941758,SmSb,trigonal,under_1st_percentile
2988_Sr6Br18,Sr6Br18,Pmmn,-1.5763172728936563,SrBr3,orthorhombic,under_1st_percentile
270_FeNa,FeNa,Fm-3m,2.2341407373912583,NaFe,cubic,over_99th_percentile
4099_CuW,CuW,F-43m,2.2610068203752807,CuW,cubic,over_99th_percentile
2643_MnW3,MnW3,Pm-3m,2.350156780098427,MnW3,cubic,over_99th_percentile
2489_RbU,RbU,Fm-3m,2.376284508072093,RbU,cubic,over_99th_percentile
969_CsW,CsW,P-6m2,2.3783873322065965,CsW,hexagonal,over_99th_percentile
200_CsW,CsW,P-6m2,2.392753487086816,CsW,hexagonal,over_99th_percentile
1832_Ni4U6,Ni4U6,R-3c,2.4319144975516,U3Ni2,trigonal,over_99th_percentile
648_CrTa,CrTa,F-43m,2.4750764616864167,TaCr,cubic,over_99th_percentile
241_CrTa,CrTa,F-43m,2.5070367353222007,TaCr,cubic,over_99th_percentile
977_SmW,SmW,F-43m,2.654567875129585,SmW,cubic,over_99th_percentile
118_CrTa,CrTa,F-43m,2.66607583354954,TaCr,cubic,over_99th_percentile
1135_BaIr2,BaIr2,Fmmm,2.783862077291165,BaIr2,orthorhombic,over_99th_percentile
2836_CaW4,CaW4,Im-3m,2.8311244584186808,CaW4,cubic,over_99th_percentile
2131_Cr3Nb,Cr3Nb,Pm-3m,2.842053501474326,NbCr3,cubic,over_99th_percentile
199_Al2V,Al2V,Fmmm,3.021478292177701,Al2V,orthorhombic,over_99th_percentile
