file_name,value_per_atom,space_group,outlier_type
4191_CeBi,-20.51942767497456,Pm-3m,under_1st_percentile
3544_Ba2Sb,-8.07092158461461,Fmmm,under_1st_percentile
1568_Cs16Bi16,-4.954624198783083,P2_1/c,under_1st_percentile
2474_Sr4Br8,-2.1581744519040207,Pnma,under_1st_percentile
543_Sr4Br8,-2.1555202848237465,Pnma,under_1st_percentile
932_BaBr2,-2.124731627500796,I4/mmm,under_1st_percentile
3981_CsBr,-1.9532013368567016,Fm-3m,under_1st_percentile
2630_CsBr,-1.8905071260349693,Pm-3m,under_1st_percentile
4037_Ca8Br16,-1.8897337814623807,Fd-3m,under_1st_percentile
3992_CaTa,2.085022014389096,Fm-3m,over_99th_percentile
1052_CuIr,2.1677452154660086,F-43m,over_99th_percentile
481_RbW,2.187420242882454,P4/mmm,over_99th_percentile
1125_AlMo2,2.233849459482612,Fmmm,over_99th_percentile
3459_Fe2Mo,3.2870273239455563,Fmmm,over_99th_percentile
4244_AgIr3,3.4604658513367634,Pm-3m,over_99th_percentile
4864_K2Mo,4.81669369363701,Fmmm,over_99th_percentile
2375_Ga13Mn13,5.485676899432976,R-3m,over_99th_percentile
1705_CaMn2,6.453217612714281,Fmmm,over_99th_percentile
