file_name,formula,space_group,value_per_atom,outlier_type
1459_CsW,CsW,F-43m,-11.82074013651485,under_1st_percentile
2474_Sr4Br8,Sr4Br8,Pnma,-2.1581744519040207,under_1st_percentile
543_Sr4Br8,Sr4Br8,Pnma,-2.1555202848237465,under_1st_percentile
932_BaBr2,BaBr2,I4/mmm,-2.124731627500796,under_1st_percentile
2915_Ce2Br6,Ce2Br6,P6_3/m,-2.11548569156943,under_1st_percentile
4600_Sr8Br16,Sr8Br16,Fd-3m,-2.052905570554053,under_1st_percentile
998_KI,KI,R-3m,-1.585206424514379,under_1st_percentile
3038_NaBr,NaBr,Pm-3m,-1.574279165099012,under_1st_percentile
4717_PaP,PaP,Pm-3m,-1.3069884492665382,under_1st_percentile
648_CrTa,CrTa,F-43m,2.4750764616864167,over_99th_percentile
2836_CaW4,CaW4,Im-3m,2.8311244584186808,over_99th_percentile
2131_Cr3Nb,Cr3Nb,Pm-3m,2.842053501474326,over_99th_percentile
178_SrW2,SrW2,Fm-3m,3.2276063672278554,over_99th_percentile
3459_Fe2Mo,Fe2Mo,Fmmm,3.2870273239455563,over_99th_percentile
4272_RbW,RbW,F-43m,3.473318277164075,over_99th_percentile
4864_K2Mo,K2Mo,Fmmm,4.81669369363701,over_99th_percentile
1705_CaMn2,CaMn2,Fmmm,6.453217612714281,over_99th_percentile
2346_Fe2Pt2,Fe2Pt2,P4/nmm,23.193570485481807,over_99th_percentile
