file_name,formula,space_group,value_per_atom,structural_complexity,outlier_type
2482_Ac3Mn,Ac3Mn,I4/mmm,-53.62881943695404,6.0,under_1st_percentile
4191_CeBi,CeBi,Pm-3m,-20.51942767497456,2.0,under_1st_percentile
1459_CsW,CsW,F-43m,-11.82074013651485,2.0,under_1st_percentile
3863_BaBr2,BaBr2,Fmmm,-11.34664136590266,2.7548875021634687,under_1st_percentile
2845_Sr2W,Sr2W,Fmmm,-8.575093680456437,2.7548875021634687,under_1st_percentile
3544_Ba2Sb,Ba2Sb,Fmmm,-8.07092158461461,2.7548875021634687,under_1st_percentile
56_CsMn,CsMn,P-6m2,-5.420664132459949,2.0,under_1st_percentile
2419_Ag5Al3,Ag5Al3,Amm2,-2.339860029082108,18.0,under_1st_percentile
593_Ba2Br4,Ba2Br4,I4/mcm,-2.1866423000315485,5.509775004326937,under_1st_percentile
932_BaBr2,BaBr2,I4/mmm,-2.124731627500796,2.7548875021634687,under_1st_percentile
565_BaBr2,BaBr2,I4/mmm,-2.1246359399750907,2.7548875021634687,under_1st_percentile
2073_BaBr2,BaBr2,I4/mmm,-2.124535582082067,2.7548875021634687,under_1st_percentile
2915_Ce2Br6,Ce2Br6,P6_3/m,-2.11548569156943,6.490224995673063,under_1st_percentile
3981_CsBr,CsBr,Fm-3m,-1.9532013368567016,2.0,under_1st_percentile
4195_KBr,KBr,Fm-3m,-1.9000790488547985,2.0,under_1st_percentile
2630_CsBr,CsBr,Pm-3m,-1.8905071260349693,2.0,under_1st_percentile
4392_Eu4I8,Eu4I8,P2_1/c,-1.877240265112853,19.01955000865388,under_1st_percentile
274_CsBr,CsBr,F-43m,-1.85028031224608,2.0,under_1st_percentile
3991_CeAs,CeAs,Fm-3m,-1.7374966219490622,2.0,under_1st_percentile
3016_NaBr,NaBr,Fm-3m,-1.7192765439625828,2.0,under_1st_percentile
4769_Sr2Br6,Sr2Br6,Pmmn,-1.6828241395262955,12.0,under_1st_percentile
2769_Ba2Br6,Ba2Br6,Pm-3n,-1.669242551351272,6.490224995673063,under_1st_percentile
1527_Ba2Br2,Ba2Br2,P4/nmm,-1.6453708263697826,4.0,under_1st_percentile
1445_CsI,CsI,P-6m2,-1.619871335866558,2.0,under_1st_percentile
657_CsI,CsI,P-6m2,-1.618852980774196,2.0,under_1st_percentile
3716_RbI,RbI,R-3m,-1.6018918268005236,2.0,under_1st_percentile
998_KI,KI,R-3m,-1.585206424514379,2.0,under_1st_percentile
1440_KI,KI,R-3m,-1.585149885067622,2.0,under_1st_percentile
3887_SmSb,SmSb,R-3m,-1.5775718023941758,2.0,under_1st_percentile
3038_NaBr,NaBr,Pm-3m,-1.574279165099012,2.0,under_1st_percentile
4039_NaBr,NaBr,Pm-3m,-1.5671150316488234,2.0,under_1st_percentile
3355_NaBr,NaBr,Cmmm,-1.51503601569897,2.0,under_1st_percentile
4561_BaBr,BaBr,F-43m,-1.499596806424356,2.0,under_1st_percentile
957_BaBr3,BaBr3,P4/mmm,-1.4934390696260131,6.0,under_1st_percentile
4309_SrBr,SrBr,P-6m2,-1.4833767957406825,2.0,under_1st_percentile
